train_through,evaluation_year,baseline,accuracy,changed_seat_accuracy,rows
1987,1997,previous_winner,0.608424336973479,0.0,641
1987,1997,training_majority,0.2589703588143526,0.0,641
1992,2001,previous_winner,0.9625585023400935,0.0,641
1992,2001,training_majority,0.2589703588143526,0.375,641
1997,2005,previous_winner,0.9092356687898088,0.0,628
1997,2005,training_majority,0.5652866242038217,0.0175438596491228,628
2001,2010,previous_winner,0.8227848101265823,0.0,632
2001,2010,training_majority,0.4082278481012658,0.0178571428571428,632
2005,2015,previous_winner,0.8275316455696202,0.0,632
2005,2015,training_majority,0.365506329113924,0.2018348623853211,632
2010,2017,previous_winner,0.8939873417721519,0.0,632
2010,2017,training_majority,0.4129746835443038,0.5373134328358209,632
2015,2019,previous_winner,0.879746835443038,0.0,632
2015,2019,training_majority,0.3196202531645569,0.0131578947368421,632
