stage,train_through,validation_year,evaluation_year,architecture,learning_rate,patience,seeds,validation_accuracy,validation_changed_seat_accuracy,validation_changed_seats,validation_log_loss,validation_brier_score,validation_rows,validation_unseen_winners,evaluation_accuracy,evaluation_changed_seat_accuracy,evaluation_changed_seats,evaluation_log_loss,evaluation_brier_score,evaluation_rows,evaluation_unseen_winners,policy
confirmation,1987,1992,1997,16,1.0,10,10,0.9116719242902208,0.2941176470588235,51,0.1906333435506618,0.1140335349671811,634,0,0.6864274570982839,0.05625,160,1.1393280937070331,0.5202605320713568,641,0,validation_all_rates
confirmation,1987,1992,1997,16,0.5,10,10,0.9116719242902208,0.2156862745098039,51,0.2033453805482951,0.1207416213224129,634,0,0.6848673946957878,0.05,160,1.2190840877775853,0.5460497582368868,641,0,validation_midrange
confirmation,1987,1992,1997,16,0.3,10,10,0.9132492113564668,0.1568627450980392,51,0.211212877464679,0.1257927608268203,634,0,0.6848673946957878,0.05,160,1.3381504412076834,0.5643391838646575,641,0,validation_compact
confirmation,1987,1992,1997,16,0.01,10,10,0.9100946372239748,0.0980392156862745,51,0.2296035049209094,0.135744087665053,634,0,0.6770670826833073,0.03125,160,1.2965573527062293,0.5803650639947534,641,0,fixed_0.01
confirmation,1987,1992,1997,16,0.03,10,10,0.9116719242902208,0.1176470588235294,51,0.2286077166958824,0.1352350204513599,634,0,0.6770670826833073,0.03125,160,1.294301137250658,0.5797033057041829,641,0,fixed_0.03
confirmation,1987,1992,1997,16,0.05,10,10,0.9132492113564668,0.1176470588235294,51,0.2250952048226395,0.1336620038923723,634,0,0.6786271450858035,0.03125,160,1.2948700944265246,0.5789072861019217,641,0,fixed_0.05
confirmation,1987,1992,1997,16,0.1,10,10,0.9116719242902208,0.1176470588235294,51,0.2213587723273397,0.1316818158148674,634,0,0.6801872074882995,0.03125,160,1.2941396352063188,0.5742689184292211,641,0,fixed_0.1
confirmation,1987,1992,1997,16,0.2,10,10,0.9132492113564668,0.1568627450980392,51,0.2163016248640583,0.1285861384440169,634,0,0.6833073322932918,0.04375,160,1.3358136507971143,0.5696553442338016,641,0,fixed_0.2
confirmation,1987,1992,1997,16,0.3,10,10,0.9132492113564668,0.1568627450980392,51,0.211212877464679,0.1257927608268203,634,0,0.6848673946957878,0.05,160,1.3381504412076834,0.5643391838646575,641,0,fixed_0.3
confirmation,1987,1992,1997,16,0.5,10,10,0.9116719242902208,0.2156862745098039,51,0.2033453805482951,0.1207416213224129,634,0,0.6848673946957878,0.05,160,1.2190840877775853,0.5460497582368868,641,0,fixed_0.5
confirmation,1987,1992,1997,16,1.0,10,10,0.9116719242902208,0.2941176470588235,51,0.1906333435506618,0.1140335349671811,634,0,0.6864274570982839,0.05625,160,1.1393280937070331,0.5202605320713568,641,0,fixed_1
confirmation,1987,1992,1997,16,1.0,20,10,0.9116719242902208,0.2941176470588235,51,0.1906333435506618,0.1140335349671811,634,0,0.6864274570982839,0.05625,160,1.1393280937070331,0.5202605320713568,641,0,validation_all_rates
confirmation,1987,1992,1997,16,0.5,20,10,0.9116719242902208,0.2156862745098039,51,0.2033453805482951,0.1207416213224129,634,0,0.6848673946957878,0.05,160,1.2190840877775853,0.5460497582368868,641,0,validation_midrange
confirmation,1987,1992,1997,16,0.3,20,10,0.9132492113564668,0.1568627450980392,51,0.211212877464679,0.1257927608268203,634,0,0.6848673946957878,0.05,160,1.3381504412076834,0.5643391838646575,641,0,validation_compact
confirmation,1987,1992,1997,16,0.01,20,10,0.9100946372239748,0.0980392156862745,51,0.2296035049209094,0.135744087665053,634,0,0.6770670826833073,0.03125,160,1.2965573527062293,0.5803650639947534,641,0,fixed_0.01
confirmation,1987,1992,1997,16,0.03,20,10,0.9132492113564668,0.1176470588235294,51,0.226424446378721,0.1342708944335312,634,0,0.6786271450858035,0.03125,160,1.3276365200782565,0.5827265231478383,641,0,fixed_0.03
confirmation,1987,1992,1997,16,0.05,20,10,0.9132492113564668,0.1176470588235294,51,0.224703902091844,0.133436917185312,634,0,0.6786271450858035,0.03125,160,1.2983555881471656,0.5792393076789717,641,0,fixed_0.05
confirmation,1987,1992,1997,16,0.1,20,10,0.9116719242902208,0.1176470588235294,51,0.2228857156218078,0.1321126925787873,634,0,0.6817472698907956,0.0375,160,1.3620526559757593,0.5790086401556914,641,0,fixed_0.1
confirmation,1987,1992,1997,16,0.2,20,10,0.9132492113564668,0.1568627450980392,51,0.2163016248640583,0.1285861384440169,634,0,0.6833073322932918,0.04375,160,1.3358136507971143,0.5696553442338016,641,0,fixed_0.2
confirmation,1987,1992,1997,16,0.3,20,10,0.9132492113564668,0.1568627450980392,51,0.211212877464679,0.1257927608268203,634,0,0.6848673946957878,0.05,160,1.3381504412076834,0.5643391838646575,641,0,fixed_0.3
confirmation,1987,1992,1997,16,0.5,20,10,0.9116719242902208,0.2156862745098039,51,0.2033453805482951,0.1207416213224129,634,0,0.6848673946957878,0.05,160,1.2190840877775853,0.5460497582368868,641,0,fixed_0.5
confirmation,1987,1992,1997,16,1.0,20,10,0.9116719242902208,0.2941176470588235,51,0.1906333435506618,0.1140335349671811,634,0,0.6864274570982839,0.05625,160,1.1393280937070331,0.5202605320713568,641,0,fixed_1
confirmation,1987,1992,1997,16,1.0,50,10,0.9116719242902208,0.2941176470588235,51,0.1906333435506618,0.1140335349671811,634,0,0.6864274570982839,0.05625,160,1.1393280937070331,0.5202605320713568,641,0,validation_all_rates
confirmation,1987,1992,1997,16,0.5,50,10,0.9116719242902208,0.2156862745098039,51,0.2033453805482951,0.1207416213224129,634,0,0.6848673946957878,0.05,160,1.2190840877775853,0.5460497582368868,641,0,validation_midrange
confirmation,1987,1992,1997,16,0.3,50,10,0.9132492113564668,0.1568627450980392,51,0.211212877464679,0.1257927608268203,634,0,0.6848673946957878,0.05,160,1.3381504412076834,0.5643391838646575,641,0,validation_compact
confirmation,1987,1992,1997,16,0.01,50,10,0.9132492113564668,0.1176470588235294,51,0.2269150579281887,0.1345440702156989,634,0,0.6786271450858035,0.03125,160,1.3197789632831007,0.5822837649734235,641,0,fixed_0.01
confirmation,1987,1992,1997,16,0.03,50,10,0.9132492113564668,0.1176470588235294,51,0.2285778669572272,0.1349045225149557,634,0,0.6801872074882995,0.03125,160,1.4047707885899592,0.5877531951254743,641,0,fixed_0.03
confirmation,1987,1992,1997,16,0.05,50,10,0.9132492113564668,0.1176470588235294,51,0.2267205656263278,0.1340645439862716,634,0,0.6801872074882995,0.03125,160,1.385042884585022,0.5850634759314799,641,0,fixed_0.05
confirmation,1987,1992,1997,16,0.1,50,10,0.9116719242902208,0.1176470588235294,51,0.2228857156218078,0.1321126925787873,634,0,0.6817472698907956,0.0375,160,1.3620526559757593,0.5790086401556914,641,0,fixed_0.1
confirmation,1987,1992,1997,16,0.2,50,10,0.9132492113564668,0.1568627450980392,51,0.2163016248640583,0.1285861384440169,634,0,0.6833073322932918,0.04375,160,1.3358136507971143,0.5696553442338016,641,0,fixed_0.2
confirmation,1987,1992,1997,16,0.3,50,10,0.9132492113564668,0.1568627450980392,51,0.211212877464679,0.1257927608268203,634,0,0.6848673946957878,0.05,160,1.3381504412076834,0.5643391838646575,641,0,fixed_0.3
confirmation,1987,1992,1997,16,0.5,50,10,0.9116719242902208,0.2156862745098039,51,0.2033453805482951,0.1207416213224129,634,0,0.6848673946957878,0.05,160,1.2190840877775853,0.5460497582368868,641,0,fixed_0.5
confirmation,1987,1992,1997,16,1.0,50,10,0.9116719242902208,0.2941176470588235,51,0.1906333435506618,0.1140335349671811,634,0,0.6864274570982839,0.05625,160,1.1393280937070331,0.5202605320713568,641,0,fixed_1
confirmation,1987,1992,1997,32,1.0,10,10,0.9116719242902208,0.2156862745098039,51,0.1912089657015749,0.1166383116523823,634,0,0.6895475819032761,0.0625,160,1.173859276839012,0.5300148377831008,641,0,validation_all_rates
confirmation,1987,1992,1997,32,0.5,10,10,0.9085173501577288,0.1764705882352941,51,0.2008139356530895,0.1214107551565111,634,0,0.6879875195007801,0.0625,160,1.193342093408013,0.5437503735459669,641,0,validation_midrange
