patience,best_epoch,stopping_epoch,best_validation_loss,hit_epoch_cap,parameters,elapsed_seconds,stage,train_through,validation_year,architecture,learning_rate,seed,validation_accuracy,validation_changed_seat_accuracy,validation_changed_seats,validation_log_loss,validation_brier_score,validation_rows,validation_unseen_winners
10,150,160,0.2361007630825042,False,533,1.2799773249998907,confirmation,1987,1992,16,0.01,101223,0.9037854889589906,0.0784313725490196,51,0.236100765290543,0.1377912592247789,634,0
20,150,170,0.2361007630825042,False,533,1.339940791999652,confirmation,1987,1992,16,0.01,101223,0.9037854889589906,0.0784313725490196,51,0.236100765290543,0.1377912592247789,634,0
50,150,200,0.2361007630825042,False,533,1.520708375999675,confirmation,1987,1992,16,0.01,101223,0.9037854889589906,0.0784313725490196,51,0.236100765290543,0.1377912592247789,634,0
10,88,98,0.2613684833049774,False,533,0.8889751659999092,confirmation,1987,1992,16,0.01,101224,0.88801261829653,0.0784313725490196,51,0.26136847980842,0.1447380548644704,634,0
20,88,108,0.2613684833049774,False,533,0.9519316009996146,confirmation,1987,1992,16,0.01,101224,0.88801261829653,0.0784313725490196,51,0.26136847980842,0.1447380548644704,634,0
50,88,138,0.2613684833049774,False,533,1.1315512779997334,confirmation,1987,1992,16,0.01,101224,0.88801261829653,0.0784313725490196,51,0.26136847980842,0.1447380548644704,634,0
10,87,97,0.2752475142478943,False,533,0.6931815469997673,confirmation,1987,1992,16,0.01,101225,0.8848580441640379,0.1176470588235294,51,0.2752474717829017,0.1540523860540283,634,0
20,87,107,0.2752475142478943,False,533,0.7741436279998197,confirmation,1987,1992,16,0.01,101225,0.8848580441640379,0.1176470588235294,51,0.2752474717829017,0.1540523860540283,634,0
50,346,396,0.2482991516590118,False,533,2.6505766809996203,confirmation,1987,1992,16,0.01,101225,0.9116719242902208,0.0980392156862745,51,0.2482991184470874,0.1391556069082392,634,0
10,162,172,0.2261224538087844,False,533,1.1962245119998445,confirmation,1987,1992,16,0.01,101226,0.9053627760252366,0.0588235294117647,51,0.2261224506850659,0.1341290608408994,634,0
20,162,182,0.2261224538087844,False,533,1.2580482680000389,confirmation,1987,1992,16,0.01,101226,0.9053627760252366,0.0588235294117647,51,0.2261224506850659,0.1341290608408994,634,0
50,162,212,0.2261224538087844,False,533,1.4680497479998849,confirmation,1987,1992,16,0.01,101226,0.9053627760252366,0.0588235294117647,51,0.2261224506850659,0.1341290608408994,634,0
10,170,180,0.2188533395528793,False,533,1.1971000680000543,confirmation,1987,1992,16,0.01,101227,0.9116719242902208,0.0980392156862745,51,0.2188533522183035,0.1318383668818509,634,0
20,170,190,0.2188533395528793,False,533,1.2568868240000484,confirmation,1987,1992,16,0.01,101227,0.9116719242902208,0.0980392156862745,51,0.2188533522183035,0.1318383668818509,634,0
50,170,220,0.2188533395528793,False,533,1.4895198740000524,confirmation,1987,1992,16,0.01,101227,0.9116719242902208,0.0980392156862745,51,0.2188533522183035,0.1318383668818509,634,0
10,187,197,0.2225387543439865,False,533,1.3761829519999085,confirmation,1987,1992,16,0.01,101228,0.9132492113564668,0.0980392156862745,51,0.2225387231987574,0.1315649123221909,634,0
20,187,207,0.2225387543439865,False,533,1.4374945780000417,confirmation,1987,1992,16,0.01,101228,0.9132492113564668,0.0980392156862745,51,0.2225387231987574,0.1315649123221909,634,0
50,187,237,0.2225387543439865,False,533,1.656275571000151,confirmation,1987,1992,16,0.01,101228,0.9132492113564668,0.0980392156862745,51,0.2225387231987574,0.1315649123221909,634,0
10,197,207,0.2539692223072052,False,533,1.4100000979997276,confirmation,1987,1992,16,0.01,101229,0.9022082018927444,0.0784313725490196,51,0.2539692491621217,0.1459560748045758,634,0
20,197,217,0.2539692223072052,False,533,1.4781306699997003,confirmation,1987,1992,16,0.01,101229,0.9022082018927444,0.0784313725490196,51,0.2539692491621217,0.1459560748045758,634,0
50,197,247,0.2539692223072052,False,533,1.7486723699998947,confirmation,1987,1992,16,0.01,101229,0.9022082018927444,0.0784313725490196,51,0.2539692491621217,0.1459560748045758,634,0
10,124,134,0.2296224683523178,False,533,0.999715833999744,confirmation,1987,1992,16,0.01,101230,0.9069400630914828,0.1176470588235294,51,0.2296224996812466,0.1357088898743541,634,0
20,124,144,0.2296224683523178,False,533,1.0607967589999134,confirmation,1987,1992,16,0.01,101230,0.9069400630914828,0.1176470588235294,51,0.2296224996812466,0.1357088898743541,634,0
50,124,174,0.2296224683523178,False,533,1.2455578169997352,confirmation,1987,1992,16,0.01,101230,0.9069400630914828,0.1176470588235294,51,0.2296224996812466,0.1357088898743541,634,0
10,218,228,0.2356133013963699,False,533,1.541104870000254,confirmation,1987,1992,16,0.01,101231,0.9085173501577288,0.1176470588235294,51,0.2356133085425874,0.1381895794439479,634,0
20,218,238,0.2356133013963699,False,533,1.602325972000017,confirmation,1987,1992,16,0.01,101231,0.9085173501577288,0.1176470588235294,51,0.2356133085425874,0.1381895794439479,634,0
50,218,268,0.2356133013963699,False,533,1.798296296999979,confirmation,1987,1992,16,0.01,101231,0.9085173501577288,0.1176470588235294,51,0.2356133085425874,0.1381895794439479,634,0
10,169,179,0.2251990288496017,False,533,1.161156367999865,confirmation,1987,1992,16,0.01,101232,0.9100946372239748,0.0784313725490196,51,0.2251990048854351,0.1325244664579751,634,0
20,169,189,0.2251990288496017,False,533,1.2311531799996374,confirmation,1987,1992,16,0.01,101232,0.9100946372239748,0.0784313725490196,51,0.2251990048854351,0.1325244664579751,634,0
