evaluation_year,architecture,policy,actual_party,predicted_party,seats
1997,16,validation_all_rates,con,con,166
1997,16,validation_all_rates,con,lab,0
1997,16,validation_all_rates,con,lib,0
1997,16,validation_all_rates,con,natSW,0
1997,16,validation_all_rates,con,oth,0
1997,16,validation_all_rates,lab,con,154
1997,16,validation_all_rates,lab,lab,264
1997,16,validation_all_rates,lab,lib,0
1997,16,validation_all_rates,lab,natSW,0
1997,16,validation_all_rates,lab,oth,0
1997,16,validation_all_rates,lib,con,38
1997,16,validation_all_rates,lib,lab,1
1997,16,validation_all_rates,lib,lib,6
1997,16,validation_all_rates,lib,natSW,0
1997,16,validation_all_rates,lib,oth,0
1997,16,validation_all_rates,natSW,con,4
1997,16,validation_all_rates,natSW,lab,2
1997,16,validation_all_rates,natSW,lib,0
1997,16,validation_all_rates,natSW,natSW,4
1997,16,validation_all_rates,natSW,oth,0
1997,16,validation_all_rates,oth,con,1
1997,16,validation_all_rates,oth,lab,1
1997,16,validation_all_rates,oth,lib,0
1997,16,validation_all_rates,oth,natSW,0
1997,16,validation_all_rates,oth,oth,0
1997,16,fixed_0.3,con,con,166
1997,16,fixed_0.3,con,lab,0
1997,16,fixed_0.3,con,lib,0
1997,16,fixed_0.3,con,natSW,0
1997,16,fixed_0.3,con,oth,0
1997,16,fixed_0.3,lab,con,156
1997,16,fixed_0.3,lab,lab,262
1997,16,fixed_0.3,lab,lib,0
1997,16,fixed_0.3,lab,natSW,0
1997,16,fixed_0.3,lab,oth,0
1997,16,fixed_0.3,lib,con,39
1997,16,fixed_0.3,lib,lab,0
1997,16,fixed_0.3,lib,lib,6
1997,16,fixed_0.3,lib,natSW,0
1997,16,fixed_0.3,lib,oth,0
1997,16,fixed_0.3,natSW,con,3
1997,16,fixed_0.3,natSW,lab,2
1997,16,fixed_0.3,natSW,lib,0
1997,16,fixed_0.3,natSW,natSW,5
1997,16,fixed_0.3,natSW,oth,0
1997,16,fixed_0.3,oth,con,1
1997,16,fixed_0.3,oth,lab,1
1997,16,fixed_0.3,oth,lib,0
1997,16,fixed_0.3,oth,natSW,0
1997,16,fixed_0.3,oth,oth,0
1997,32,validation_all_rates,con,con,166
1997,32,validation_all_rates,con,lab,0
1997,32,validation_all_rates,con,lib,0
1997,32,validation_all_rates,con,natSW,0
1997,32,validation_all_rates,con,oth,0
1997,32,validation_all_rates,lab,con,155
1997,32,validation_all_rates,lab,lab,263
1997,32,validation_all_rates,lab,lib,0
1997,32,validation_all_rates,lab,natSW,0
1997,32,validation_all_rates,lab,oth,0
1997,32,validation_all_rates,lib,con,38
1997,32,validation_all_rates,lib,lab,1
1997,32,validation_all_rates,lib,lib,6
1997,32,validation_all_rates,lib,natSW,0
1997,32,validation_all_rates,lib,oth,0
1997,32,validation_all_rates,natSW,con,2
1997,32,validation_all_rates,natSW,lab,1
1997,32,validation_all_rates,natSW,lib,0
1997,32,validation_all_rates,natSW,natSW,7
1997,32,validation_all_rates,natSW,oth,0
1997,32,validation_all_rates,oth,con,1
1997,32,validation_all_rates,oth,lab,1
1997,32,validation_all_rates,oth,lib,0
1997,32,validation_all_rates,oth,natSW,0
