evaluation_year,architecture,policy,previous_winner_status,party,actual_seats,predicted_seats
1997,16,validation_all_rates,known,con,121,272
1997,16,validation_all_rates,known,lab,387,268
1997,16,validation_all_rates,known,lib,32,6
1997,16,validation_all_rates,known,natSW,8,4
1997,16,validation_all_rates,known,oth,2,0
1997,16,validation_all_rates,missing,con,45,91
1997,16,validation_all_rates,missing,lab,31,0
1997,16,validation_all_rates,missing,lib,13,0
1997,16,validation_all_rates,missing,natSW,2,0
1997,16,validation_all_rates,missing,oth,0,0
1997,16,fixed_0.3,known,con,121,274
1997,16,fixed_0.3,known,lab,387,265
1997,16,fixed_0.3,known,lib,32,6
1997,16,fixed_0.3,known,natSW,8,5
1997,16,fixed_0.3,known,oth,2,0
1997,16,fixed_0.3,missing,con,45,91
1997,16,fixed_0.3,missing,lab,31,0
1997,16,fixed_0.3,missing,lib,13,0
1997,16,fixed_0.3,missing,natSW,2,0
1997,16,fixed_0.3,missing,oth,0,0
1997,32,validation_all_rates,known,con,121,271
1997,32,validation_all_rates,known,lab,387,266
1997,32,validation_all_rates,known,lib,32,6
1997,32,validation_all_rates,known,natSW,8,7
1997,32,validation_all_rates,known,oth,2,0
1997,32,validation_all_rates,missing,con,45,91
1997,32,validation_all_rates,missing,lab,31,0
1997,32,validation_all_rates,missing,lib,13,0
1997,32,validation_all_rates,missing,natSW,2,0
1997,32,validation_all_rates,missing,oth,0,0
1997,32,fixed_0.3,known,con,121,274
1997,32,fixed_0.3,known,lab,387,265
1997,32,fixed_0.3,known,lib,32,6
1997,32,fixed_0.3,known,natSW,8,5
1997,32,fixed_0.3,known,oth,2,0
1997,32,fixed_0.3,missing,con,45,91
1997,32,fixed_0.3,missing,lab,31,0
1997,32,fixed_0.3,missing,lib,13,0
1997,32,fixed_0.3,missing,natSW,2,0
1997,32,fixed_0.3,missing,oth,0,0
1997,32_16,validation_all_rates,known,con,121,273
1997,32_16,validation_all_rates,known,lab,387,271
1997,32_16,validation_all_rates,known,lib,32,6
1997,32_16,validation_all_rates,known,natSW,8,0
1997,32_16,validation_all_rates,known,oth,2,0
1997,32_16,validation_all_rates,missing,con,45,91
1997,32_16,validation_all_rates,missing,lab,31,0
1997,32_16,validation_all_rates,missing,lib,13,0
1997,32_16,validation_all_rates,missing,natSW,2,0
1997,32_16,validation_all_rates,missing,oth,0,0
1997,32_16,fixed_0.3,known,con,121,274
1997,32_16,fixed_0.3,known,lab,387,270
1997,32_16,fixed_0.3,known,lib,32,5
1997,32_16,fixed_0.3,known,natSW,8,1
1997,32_16,fixed_0.3,known,oth,2,0
1997,32_16,fixed_0.3,missing,con,45,91
1997,32_16,fixed_0.3,missing,lab,31,0
1997,32_16,fixed_0.3,missing,lib,13,0
1997,32_16,fixed_0.3,missing,natSW,2,0
1997,32_16,fixed_0.3,missing,oth,0,0
1997,64_32,validation_all_rates,known,con,121,272
1997,64_32,validation_all_rates,known,lab,387,269
1997,64_32,validation_all_rates,known,lib,32,6
1997,64_32,validation_all_rates,known,natSW,8,3
1997,64_32,validation_all_rates,known,oth,2,0
1997,64_32,validation_all_rates,missing,con,45,91
1997,64_32,validation_all_rates,missing,lab,31,0
1997,64_32,validation_all_rates,missing,lib,13,0
1997,64_32,validation_all_rates,missing,natSW,2,0
1997,64_32,validation_all_rates,missing,oth,0,0
1997,64_32,fixed_0.3,known,con,121,273
1997,64_32,fixed_0.3,known,lab,387,269
1997,64_32,fixed_0.3,known,lib,32,6
1997,64_32,fixed_0.3,known,natSW,8,2
1997,64_32,fixed_0.3,known,oth,2,0
1997,64_32,fixed_0.3,missing,con,45,91
1997,64_32,fixed_0.3,missing,lab,31,0
1997,64_32,fixed_0.3,missing,lib,13,0
1997,64_32,fixed_0.3,missing,natSW,2,0
1997,64_32,fixed_0.3,missing,oth,0,0
2001,16,validation_all_rates,known,con,166,187
2001,16,validation_all_rates,known,lab,412,418
2001,16,validation_all_rates,known,lib,52,26
2001,16,validation_all_rates,known,natSW,9,10
2001,16,validation_all_rates,known,oth,2,0
2001,16,fixed_0.3,known,con,166,185
2001,16,fixed_0.3,known,lab,412,419
2001,16,fixed_0.3,known,lib,52,28
2001,16,fixed_0.3,known,natSW,9,9
2001,16,fixed_0.3,known,oth,2,0
2001,32,validation_all_rates,known,con,166,186
2001,32,validation_all_rates,known,lab,412,418
2001,32,validation_all_rates,known,lib,52,27
2001,32,validation_all_rates,known,natSW,9,10
2001,32,validation_all_rates,known,oth,2,0
2001,32,fixed_0.3,known,con,166,185
2001,32,fixed_0.3,known,lab,412,419
2001,32,fixed_0.3,known,lib,52,28
2001,32,fixed_0.3,known,natSW,9,9
2001,32,fixed_0.3,known,oth,2,0
2001,32_16,validation_all_rates,known,con,166,186
2001,32_16,validation_all_rates,known,lab,412,419
2001,32_16,validation_all_rates,known,lib,52,28
2001,32_16,validation_all_rates,known,natSW,9,8
2001,32_16,validation_all_rates,known,oth,2,0
2001,32_16,fixed_0.3,known,con,166,202
2001,32_16,fixed_0.3,known,lab,412,420
2001,32_16,fixed_0.3,known,lib,52,17
2001,32_16,fixed_0.3,known,natSW,9,2
2001,32_16,fixed_0.3,known,oth,2,0
2001,64_32,validation_all_rates,known,con,166,178
2001,64_32,validation_all_rates,known,lab,412,419
2001,64_32,validation_all_rates,known,lib,52,34
2001,64_32,validation_all_rates,known,natSW,9,10
2001,64_32,validation_all_rates,known,oth,2,0
2001,64_32,fixed_0.3,known,con,166,202
2001,64_32,fixed_0.3,known,lab,412,419
2001,64_32,fixed_0.3,known,lib,52,15
2001,64_32,fixed_0.3,known,natSW,9,5
2001,64_32,fixed_0.3,known,oth,2,0
2005,16,validation_all_rates,known,con,198,301
2005,16,validation_all_rates,known,lab,355,279
2005,16,validation_all_rates,known,lib,62,38
2005,16,validation_all_rates,known,natSW,9,10
2005,16,validation_all_rates,known,oth,4,0
2005,16,fixed_0.3,known,con,198,305
2005,16,fixed_0.3,known,lab,355,278
2005,16,fixed_0.3,known,lib,62,35
2005,16,fixed_0.3,known,natSW,9,10
2005,16,fixed_0.3,known,oth,4,0
2005,32,validation_all_rates,known,con,198,301
2005,32,validation_all_rates,known,lab,355,281
2005,32,validation_all_rates,known,lib,62,36
2005,32,validation_all_rates,known,natSW,9,10
2005,32,validation_all_rates,known,oth,4,0
2005,32,fixed_0.3,known,con,198,314
2005,32,fixed_0.3,known,lab,355,270
2005,32,fixed_0.3,known,lib,62,34
