omitted_election,policy,architecture,elections,mean_accuracy,mean_log_loss,mean_overall_changed_score,mean_known_history_gain_pp,elections_beating_persistence,accuracy_rank,log_loss_rank,overall_changed_rank
none,validation_all_rates,16,7,0.8339915515741579,0.5185264800754551,0.5646614219928793,-1.9320070147080575,3,3.0,1.0,4.0
none,fixed_0.3,16,7,0.8364687622484916,0.5321918402043297,0.5934842998756634,-1.687973367498779,4,1.0,1.0,1.0
none,validation_all_rates,32,7,0.8281049960396041,0.5352749963361586,0.5663107508240117,-2.5132877277153076,2,4.0,4.0,3.0
none,fixed_0.3,32,7,0.8319350088938885,0.5380310242986167,0.5900571213757513,-2.1413487029590956,4,3.0,2.0,2.0
none,validation_all_rates,32_16,7,0.8373758323134437,0.5275650441674656,0.5795573307119672,-1.612016041899898,2,2.0,2.0,1.0
none,fixed_0.3,32_16,7,0.8326852412159857,0.5407403963435375,0.5814637358435103,-2.081075151645682,3,2.0,3.0,3.0
none,validation_all_rates,64_32,7,0.8380409625226186,0.5329398197801424,0.5711008339581077,-1.5307533400860567,4,1.0,3.0,2.0
none,fixed_0.3,64_32,7,0.8304124427217789,0.5437798980438543,0.5802298297181612,-2.3009801606181917,3,4.0,4.0,4.0
1997,validation_all_rates,16,6,0.8585855673201369,0.4150595444701921,0.5968818709001689,-2.405523335341218,2,3.0,2.0,4.0
1997,fixed_0.3,16,6,0.8617356568406089,0.39786540670377074,0.6311594002969585,-2.0905143832940287,3,1.0,1.0,1.0
1997,validation_all_rates,32,6,0.8511978983956586,0.42884428291901644,0.5980252441360739,-3.1442902277890705,1,4.0,4.0,3.0
1997,fixed_0.3,32,6,0.8564462779269052,0.41576340717125854,0.6271610253803941,-2.6194522746643982,3,3.0,4.0,2.0
1997,validation_all_rates,32_16,6,0.8638339468513837,0.4134295971551047,0.6154312904068114,-1.8806853822165477,2,1.0,1.0,1.0
1997,fixed_0.3,32_16,6,0.8583615905710161,0.4081256011610756,0.6176554297269451,-2.427921010253296,3,2.0,2.0,3.0
1997,validation_all_rates,64_32,6,0.8635698904937573,0.42636930662711797,0.6045245233931434,-1.9070910179791862,3,2.0,3.0,2.0
1997,fixed_0.3,64_32,6,0.855189971526943,0.4095246881914383,0.6159558621802884,-2.7450829146606184,2,4.0,3.0,4.0
2001,validation_all_rates,16,6,0.8162038720523263,0.5704284206614849,0.5699618565995969,-1.8899936232436427,3,3.0,1.0,4.0
2001,fixed_0.3,16,6,0.8183139199711341,0.5866303517314406,0.5997263096399988,-1.6832908216242892,4,1.0,1.0,1.0
2001,validation_all_rates,32,6,0.8090762135282638,0.5901163215028739,0.5717560683690434,-2.5941554951270356,2,4.0,4.0,3.0
2001,fixed_0.3,32,6,0.8130245410574304,0.5901033008137092,0.5957279347234344,-2.212228712994659,4,4.0,2.0,2.0
2001,validation_all_rates,32_16,6,0.8196321787806609,0.5773993810065816,0.5836081841492278,-1.5686729017173273,2,2.0,2.0,2.0
2001,fixed_0.3,32_16,6,0.8180599785065336,0.5911422108868386,0.5843101792502594,-1.72589292913005,3,2.0,3.0,3.0
2001,validation_all_rates,64_32,6,0.8201481536242824,0.5887502846688705,0.5840289327361838,-1.499867456309447,4,1.0,3.0,1.0
2001,fixed_0.3,64_32,6,0.8151483698628764,0.5932457564842835,0.5827406169038106,-2.0084498129729123,3,3.0,4.0,4.0
2005,validation_all_rates,16,6,0.838701396157112,0.532806601111621,0.5404576946753815,-0.5289551052698054,3,3.0,1.0,4.0
2005,fixed_0.3,16,6,0.8421222608398008,0.5469627345444817,0.5728877900158525,-0.191170627262377,4,1.0,1.0,1.0
2005,validation_all_rates,32,6,0.8318337480334655,0.554289826702757,0.542381911645036,-1.207115937111597,2,4.0,4.0,3.0
2005,fixed_0.3,32,6,0.839221416957944,0.5486353076526755,0.5700836826152118,-0.48125501544803256,4,2.0,2.0,2.0
2005,validation_all_rates,32_16,6,0.8455690442807585,0.5370133715111277,0.5592959151448907,0.1362997557876981,2,2.0,2.0,1.0
2005,fixed_0.3,32_16,6,0.8385043313124929,0.5555955815097315,0.5607238761210754,-0.570171541038859,3,3.0,3.0,3.0
2005,validation_all_rates,64_32,6,0.8458142439621635,0.5451403952231123,0.5477026211799781,0.17802768497391003,4,1.0,3.0,2.0
2005,fixed_0.3,64_32,6,0.8363835186318845,0.5604103876193739,0.5580877234520574,-0.7736488285768506,3,4.0,4.0,4.0
2010,validation_all_rates,16,6,0.8303213671318762,0.5460392498028028,0.51824084223461,-2.807805652180497,2,2.0,1.0,3.0
2010,fixed_0.3,16,6,0.8363760032139576,0.5536753902404256,0.5497295734836327,-2.2066440342338067,3,1.0,1.0,1.0
2010,validation_all_rates,32,6,0.8247722844090738,0.564303199228514,0.5178481514284959,-3.3541099439378996,1,4.0,3.0,4.0
2010,fixed_0.3,32,6,0.8316140504605913,0.5605579127260649,0.5459949116472372,-2.6828393095704213,3,2.0,2.0,2.0
2010,validation_all_rates,32_16,6,0.8313688507791864,0.5566890409062449,0.5326808852278556,-2.724567238756631,1,1.0,2.0,1.0
2010,fixed_0.3,32_16,6,0.8306433299418567,0.5655839375171904,0.5357903470314131,-2.797119322489581,2,3.0,3.0,3.0
2010,validation_all_rates,64_32,6,0.8289802790611986,0.5709013631567835,0.5227207891054356,-2.9462164495096808,3,3.0,4.0,2.0
2010,fixed_0.3,64_32,6,0.8258820270572653,0.5743933425244537,0.5332959375644971,-3.264645630425864,2,4.0,4.0,4.0
2015,validation_all_rates,16,6,0.8440344473006526,0.4678368017062397,0.5835904469760537,-1.3573837112522282,3,3.0,2.0,4.0
2015,fixed_0.3,16,6,0.8466608133405398,0.4828582470027695,0.6155562293114499,-1.0990490975249476,4,1.0,2.0,1.0
2015,validation_all_rates,32,6,0.8392765038183564,0.4761627818174459,0.5858049902724994,-1.8245740789589977,2,4.0,3.0,3.0
2015,fixed_0.3,32,6,0.843744852148355,0.479378147773647,0.6135090892495288,-1.3906452167434171,4,2.0,1.0,2.0
2015,validation_all_rates,32_16,6,0.8456093571083003,0.4838726080205782,0.5997822982875634,-1.2214026817946069,2,2.0,4.0,1.0
2015,fixed_0.3,32_16,6,0.8401370008279327,0.49924385222599543,0.602006437607697,-1.7686383098313552,3,4.0,4.0,3.0
2015,validation_all_rates,64_32,6,0.8511321777953759,0.4626148372986297,0.5915252771356959,-0.6519126520413292,4,1.0,1.0,2.0
2015,fixed_0.3,64_32,6,0.8406499595467168,0.49744803831178785,0.6013846329485851,-1.708738457430085,3,3.0,3.0,4.0
2017,validation_all_rates,16,6,0.8242559662879944,0.5419079027658035,0.5769418838169335,-2.2276368758091896,3,3.0,1.0,4.0
2017,fixed_0.3,16,6,0.8260911930873753,0.5735856944930054,0.6050660241417347,-2.048416186132542,3,1.0,1.0,2.0
2017,validation_all_rates,32,6,0.819761735885867,0.5575665696995344,0.5800528096473474,-2.668455935499083,2,4.0,4.0,3.0
2017,fixed_0.3,32,6,0.8210655272538404,0.5805243763304707,0.6061746301433641,-2.550982769486034,3,3.0,4.0,1.0
2017,validation_all_rates,32_16,6,0.8289954330576674,0.5496760650133666,0.5947160136094558,-1.7752001501490366,2,1.0,2.0,1.0
2017,fixed_0.3,32_16,6,0.8219407982962873,0.5752451013392584,0.5961490136890831,-2.4806636262870514,2,2.0,2.0,4.0
2017,validation_all_rates,64_32,6,0.828452852900861,0.5544522540261714,0.5841908180295312,-1.812250204783944,3,2.0,3.0,2.0
2017,fixed_0.3,64_32,6,0.820344052373721,0.5764400177410012,0.5964806637977073,-2.6317342380208015,3,4.0,3.0,3.0
2019,validation_all_rates,16,6,0.825838244769007,0.5556068400100416,0.5665553587474109,-2.306750799859823,2,3.0,1.0,3.0
2019,fixed_0.3,16,6,0.8239814884460251,0.5837650567144146,0.5802647722400174,-2.4967284224194604,3,1.0,1.0,1.0
2019,validation_all_rates,32,6,0.8208165882065422,0.5756419924829687,0.568306080269586,-2.8003124755834703,2,4.0,3.0,2.0
2019,fixed_0.3,32,6,0.8184283964521525,0.5912547176224907,0.571748575871088,-3.052037621806708,3,4.0,3.0,4.0
2019,validation_all_rates,32_16,6,0.8266220153361484,0.5748752455592555,0.5713867281579658,-2.249883694452835,1,2.0,2.0,1.0
2019,fixed_0.3,32_16,6,0.8211496590557809,0.5902464897646728,0.5736108674780994,-2.797119322489583,2,2.0,2.0,3.0
2019,validation_all_rates,64_32,6,0.8281891398206923,0.5823502974603113,0.5630128761267864,-2.07596328495272,3,1.0,4.0,4.0
2019,fixed_0.3,64_32,6,0.819289200053046,0.5949970554346419,0.5736633711801821,-2.9745612422402106,2,3.0,4.0,2.0
