stage_full,train_through,validation_year_full,evaluation_year,architecture,learning_rate_full,patience,seeds_full,validation_accuracy_full,validation_changed_seat_accuracy_full,validation_changed_seats_full,validation_log_loss_full,validation_brier_score_full,validation_rows_full,validation_unseen_winners_full,evaluation_accuracy_full,evaluation_changed_seat_accuracy_full,evaluation_changed_seats_full,evaluation_log_loss_full,evaluation_brier_score_full,evaluation_rows_full,evaluation_unseen_winners_full,policy_full,stage_midrange,validation_year_midrange,learning_rate_midrange,seeds_midrange,validation_accuracy_midrange,validation_changed_seat_accuracy_midrange,validation_changed_seats_midrange,validation_log_loss_midrange,validation_brier_score_midrange,validation_rows_midrange,validation_unseen_winners_midrange,evaluation_accuracy_midrange,evaluation_changed_seat_accuracy_midrange,evaluation_changed_seats_midrange,evaluation_log_loss_midrange,evaluation_brier_score_midrange,evaluation_rows_midrange,evaluation_unseen_winners_midrange,policy_midrange,same_rate,midrange_accuracy_delta_pp,midrange_log_loss_delta
confirmation,1987,1992,1997,16,1.0,10,10,0.9116719242902208,0.2941176470588235,51,0.1906333435506618,0.1140335349671811,634,0,0.6864274570982839,0.05625,160,1.1393280937070331,0.5202605320713568,641,0,validation_all_rates,confirmation,1992,0.5,10,0.9116719242902208,0.2156862745098039,51,0.2033453805482951,0.1207416213224129,634,0,0.6848673946957878,0.05,160,1.2190840877775853,0.5460497582368868,641,0,validation_midrange,False,-0.15600624024960652,0.07975599407055212
confirmation,1987,1992,1997,16,1.0,20,10,0.9116719242902208,0.2941176470588235,51,0.1906333435506618,0.1140335349671811,634,0,0.6864274570982839,0.05625,160,1.1393280937070331,0.5202605320713568,641,0,validation_all_rates,confirmation,1992,0.5,10,0.9116719242902208,0.2156862745098039,51,0.2033453805482951,0.1207416213224129,634,0,0.6848673946957878,0.05,160,1.2190840877775853,0.5460497582368868,641,0,validation_midrange,False,-0.15600624024960652,0.07975599407055212
confirmation,1987,1992,1997,16,1.0,50,10,0.9116719242902208,0.2941176470588235,51,0.1906333435506618,0.1140335349671811,634,0,0.6864274570982839,0.05625,160,1.1393280937070331,0.5202605320713568,641,0,validation_all_rates,confirmation,1992,0.5,10,0.9116719242902208,0.2156862745098039,51,0.2033453805482951,0.1207416213224129,634,0,0.6848673946957878,0.05,160,1.2190840877775853,0.5460497582368868,641,0,validation_midrange,False,-0.15600624024960652,0.07975599407055212
confirmation,1987,1992,1997,32,1.0,10,10,0.9116719242902208,0.2156862745098039,51,0.1912089657015749,0.1166383116523823,634,0,0.6895475819032761,0.0625,160,1.173859276839012,0.5300148377831008,641,0,validation_all_rates,confirmation,1992,0.5,10,0.9085173501577288,0.1764705882352941,51,0.2008139356530895,0.1214107551565111,634,0,0.6879875195007801,0.0625,160,1.193342093408013,0.5437503735459669,641,0,validation_midrange,False,-0.15600624024960652,0.019482816569001082
confirmation,1987,1992,1997,32,1.0,20,10,0.9116719242902208,0.2156862745098039,51,0.1912089657015749,0.1166383116523823,634,0,0.6895475819032761,0.0625,160,1.173859276839012,0.5300148377831008,641,0,validation_all_rates,confirmation,1992,0.5,10,0.9085173501577288,0.1764705882352941,51,0.2008139356530895,0.1214107551565111,634,0,0.6879875195007801,0.0625,160,1.193342093408013,0.5437503735459669,641,0,validation_midrange,False,-0.15600624024960652,0.019482816569001082
confirmation,1987,1992,1997,32,1.0,50,10,0.9116719242902208,0.2156862745098039,51,0.1912089657015749,0.1166383116523823,634,0,0.6895475819032761,0.0625,160,1.173859276839012,0.5300148377831008,641,0,validation_all_rates,confirmation,1992,0.5,10,0.9085173501577288,0.1764705882352941,51,0.2008139356530895,0.1214107551565111,634,0,0.6879875195007801,0.0625,160,1.193342093408013,0.5437503735459669,641,0,validation_midrange,False,-0.15600624024960652,0.019482816569001082
confirmation,1987,1992,1997,32_16,1.0,10,10,0.9022082018927444,0.2352941176470588,51,0.2193192194023995,0.1287680038126931,634,0,0.6786271450858035,0.05,160,1.212377726241631,0.5447257634606577,641,0,validation_all_rates,confirmation,1992,0.3,10,0.9037854889589906,0.2745098039215686,51,0.2230957459223524,0.1288919721356678,634,0,0.6786271450858035,0.05,160,1.3364291674383095,0.5550286112204851,641,0,validation_midrange,False,0.0,0.12405144119667844
confirmation,1987,1992,1997,32_16,1.0,20,10,0.9022082018927444,0.2352941176470588,51,0.2193192194023995,0.1287680038126931,634,0,0.6786271450858035,0.05,160,1.212377726241631,0.5447257634606577,641,0,validation_all_rates,confirmation,1992,0.3,10,0.9037854889589906,0.2745098039215686,51,0.2230957459223524,0.1288919721356678,634,0,0.6786271450858035,0.05,160,1.3364291674383095,0.5550286112204851,641,0,validation_midrange,False,0.0,0.12405144119667844
confirmation,1987,1992,1997,32_16,1.0,50,10,0.9022082018927444,0.2352941176470588,51,0.2193192194023995,0.1287680038126931,634,0,0.6786271450858035,0.05,160,1.212377726241631,0.5447257634606577,641,0,validation_all_rates,confirmation,1992,0.3,10,0.9037854889589906,0.2745098039215686,51,0.2230957459223524,0.1288919721356678,634,0,0.6786271450858035,0.05,160,1.3364291674383095,0.5550286112204851,641,0,validation_midrange,False,0.0,0.12405144119667844
confirmation,1987,1992,1997,64_32,1.0,10,10,0.9116719242902208,0.3137254901960784,51,0.1993864147445948,0.1179970849923857,634,0,0.6848673946957878,0.05625,160,1.1723628986982888,0.5201577931740267,641,0,validation_all_rates,confirmation,1992,0.5,10,0.9022082018927444,0.2745098039215686,51,0.2150941392000792,0.127299150297101,634,0,0.6770670826833073,0.05,160,1.188037237755708,0.5418828345305357,641,0,validation_midrange,False,-0.7800312012480548,0.015674339057419218
confirmation,1987,1992,1997,64_32,1.0,20,10,0.9116719242902208,0.3137254901960784,51,0.1993864147445948,0.1179970849923857,634,0,0.6848673946957878,0.05625,160,1.1723628986982888,0.5201577931740267,641,0,validation_all_rates,confirmation,1992,0.5,10,0.9022082018927444,0.2745098039215686,51,0.2150941392000792,0.127299150297101,634,0,0.6770670826833073,0.05,160,1.188037237755708,0.5418828345305357,641,0,validation_midrange,False,-0.7800312012480548,0.015674339057419218
confirmation,1987,1992,1997,64_32,1.0,50,10,0.9116719242902208,0.3137254901960784,51,0.1993864147445948,0.1179970849923857,634,0,0.6848673946957878,0.05625,160,1.1723628986982888,0.5201577931740267,641,0,validation_all_rates,confirmation,1992,0.5,10,0.9022082018927444,0.2745098039215686,51,0.2150941392000792,0.127299150297101,634,0,0.6770670826833073,0.05,160,1.188037237755708,0.5418828345305357,641,0,validation_midrange,False,-0.7800312012480548,0.015674339057419218
confirmation,1992,1997,2001,16,1.0,10,10,0.8081123244929798,0.53125,160,0.4647119470530805,0.2595524882203275,641,0,0.9407176287051482,0.125,24,0.2071148365592762,0.0991645330631171,641,0,validation_all_rates,confirmation,1997,0.5,10,0.781591263650546,0.4375,160,0.5385256469947611,0.3052471887806806,641,0,0.9438377535101404,0.1666666666666666,24,0.2082359868663292,0.1016679571417751,641,0,validation_midrange,False,0.31201248049922414,0.0011211503070529816
confirmation,1992,1997,2001,16,1.0,20,10,0.8081123244929798,0.53125,160,0.4647119470530805,0.2595524882203275,641,0,0.9407176287051482,0.125,24,0.2071148365592762,0.0991645330631171,641,0,validation_all_rates,confirmation,1997,0.5,10,0.7862714508580343,0.45625,160,0.5225758960687451,0.2949338946561488,641,0,0.9438377535101404,0.1666666666666666,24,0.2013831514383283,0.0969758958695336,641,0,validation_midrange,False,0.31201248049922414,-0.005731685120947905
