evaluation_year,policy,architecture,disagreement_seats,challenger_only_correct,baseline_only_correct,net_correct_seats
1997,validation_all_rates,16,5,5,0,5
1997,fixed_0.3,16,7,5,1,4
1997,validation_all_rates,32,7,7,0,7
1997,fixed_0.3,32,7,5,1,4
1997,validation_all_rates,64_32,4,4,0,4
1997,fixed_0.3,64_32,2,2,0,2
2001,validation_all_rates,16,4,1,3,-2
2001,fixed_0.3,16,18,17,1,16
2001,validation_all_rates,32,5,2,3,-1
2001,fixed_0.3,32,18,17,1,16
2001,validation_all_rates,64_32,9,5,4,1
2001,fixed_0.3,64_32,5,3,2,1
2005,validation_all_rates,16,11,11,0,11
2005,fixed_0.3,16,9,6,3,3
2005,validation_all_rates,32,11,11,0,11
2005,fixed_0.3,32,8,1,7,-6
2005,validation_all_rates,64_32,7,4,2,2
2005,fixed_0.3,64_32,4,1,3,-2
2010,validation_all_rates,16,27,7,18,-11
2010,fixed_0.3,16,15,5,10,-5
2010,validation_all_rates,32,22,2,18,-16
2010,fixed_0.3,32,13,3,10,-7
2010,validation_all_rates,64_32,16,14,2,12
2010,fixed_0.3,64_32,9,8,0,8
2015,validation_all_rates,16,9,0,9,-9
2015,fixed_0.3,16,14,3,11,-8
2015,validation_all_rates,32,20,1,18,-17
2015,fixed_0.3,32,20,1,18,-17
2015,validation_all_rates,64_32,22,1,19,-18
2015,fixed_0.3,64_32,15,1,13,-12
2017,validation_all_rates,16,3,3,0,3
2017,fixed_0.3,16,10,5,4,1
2017,validation_all_rates,32,12,3,9,-6
2017,fixed_0.3,32,3,1,1,0
2017,validation_all_rates,64_32,5,5,0,5
2017,fixed_0.3,64_32,4,0,4,-4
2019,validation_all_rates,16,18,3,15,-12
2019,fixed_0.3,16,14,10,4,6
2019,validation_all_rates,32,25,3,22,-19
2019,fixed_0.3,32,17,12,5,7
2019,validation_all_rates,64_32,5,1,4,-3
2019,fixed_0.3,64_32,5,1,4,-3
