evaluation_year,architecture,policy,party,actual_seats,predicted_seats,expected_seats,seat_error,recall,precision
1997,16,validation_all_rates,con,166,363,344.0436378227991,197,1.0,0.4573002754820937
1997,16,validation_all_rates,lab,418,268,280.48687615203,-150,0.631578947368421,0.9850746268656716
1997,16,validation_all_rates,lib,45,6,9.9143133073266,-39,0.13333333333333333,1.0
1997,16,validation_all_rates,natSW,10,4,4.962045586403001,-6,0.4,1.0
1997,16,validation_all_rates,oth,2,0,1.5931257057611,-2,0.0,
1997,16,fixed_0.3,con,166,365,359.894745377013,199,1.0,0.4547945205479452
1997,16,fixed_0.3,lab,418,265,266.2020865124398,-153,0.6267942583732058,0.9886792452830189
1997,16,fixed_0.3,lib,45,6,8.3637801425834,-39,0.13333333333333333,1.0
1997,16,fixed_0.3,natSW,10,5,5.2152790871608,-5,0.5,1.0
1997,16,fixed_0.3,oth,2,0,1.3241102707374999,-2,0.0,
1997,32,validation_all_rates,con,166,362,348.51586844126257,196,1.0,0.4585635359116022
1997,32,validation_all_rates,lab,418,266,275.36813200357096,-152,0.6291866028708134,0.9887218045112782
1997,32,validation_all_rates,lib,45,6,9.830448670749401,-39,0.13333333333333333,1.0
1997,32,validation_all_rates,natSW,10,7,5.962468775020301,-3,0.7,1.0
1997,32,validation_all_rates,oth,2,0,1.3230780233703,-2,0.0,
1997,32,fixed_0.3,con,166,365,357.886458867132,199,1.0,0.4547945205479452
1997,32,fixed_0.3,lab,418,265,266.713124601996,-153,0.6267942583732058,0.9886792452830189
1997,32,fixed_0.3,lib,45,6,8.86043533047,-39,0.13333333333333333,1.0
1997,32,fixed_0.3,natSW,10,5,5.7278773606744995,-5,0.5,1.0
1997,32,fixed_0.3,oth,2,0,1.8121048239302002,-2,0.0,
1997,32_16,validation_all_rates,con,166,364,347.60010545666523,198,1.0,0.45604395604395603
1997,32_16,validation_all_rates,lab,418,271,277.37092265247753,-147,0.6291866028708134,0.9704797047970479
1997,32_16,validation_all_rates,lib,45,6,10.905703954521,-39,0.13333333333333333,1.0
1997,32_16,validation_all_rates,natSW,10,0,3.5574140930541,-10,0.0,
1997,32_16,validation_all_rates,oth,2,0,1.5658541331431801,-2,0.0,
1997,32_16,fixed_0.3,con,166,365,353.83927722927615,199,1.0,0.4547945205479452
1997,32_16,fixed_0.3,lab,418,270,274.09055817614603,-148,0.6291866028708134,0.9740740740740741
1997,32_16,fixed_0.3,lib,45,5,8.223559195696001,-40,0.1111111111111111,1.0
1997,32_16,fixed_0.3,natSW,10,1,3.4605709361945003,-9,0.1,1.0
1997,32_16,fixed_0.3,oth,2,0,1.386035110712,-2,0.0,
1997,64_32,validation_all_rates,con,166,363,342.41739714889025,197,1.0,0.4573002754820937
1997,64_32,validation_all_rates,lab,418,269,281.207231238554,-149,0.631578947368421,0.9814126394052045
1997,64_32,validation_all_rates,lib,45,6,11.8124550266371,-39,0.13333333333333333,1.0
1997,64_32,validation_all_rates,natSW,10,3,4.202313804264,-7,0.3,1.0
1997,64_32,validation_all_rates,oth,2,0,1.3606016547114899,-2,0.0,
1997,64_32,fixed_0.3,con,166,364,354.7332752963087,198,1.0,0.45604395604395603
1997,64_32,fixed_0.3,lab,418,269,272.5558859344301,-149,0.6291866028708134,0.9776951672862454
1997,64_32,fixed_0.3,lib,45,6,8.695215331071399,-39,0.13333333333333333,1.0
1997,64_32,fixed_0.3,natSW,10,2,3.8954622604315996,-8,0.2,1.0
1997,64_32,fixed_0.3,oth,2,0,1.12016380895079,-2,0.0,
2001,16,validation_all_rates,con,166,187,193.17205020673998,21,0.963855421686747,0.8556149732620321
2001,16,validation_all_rates,lab,412,418,406.88638783790003,6,0.9927184466019418,0.9784688995215312
2001,16,validation_all_rates,lib,52,26,29.655960398642996,-26,0.5,1.0
2001,16,validation_all_rates,natSW,9,10,10.125549514144002,1,0.8888888888888888,0.8
2001,16,validation_all_rates,oth,2,0,1.160052964948,-2,0.0,
2001,16,fixed_0.3,con,166,185,199.651479072885,19,0.963855421686747,0.8648648648648649
2001,16,fixed_0.3,lab,412,419,402.35055106147,7,0.9951456310679612,0.9785202863961814
2001,16,fixed_0.3,lib,52,28,28.817552145845,-24,0.5384615384615384,1.0
2001,16,fixed_0.3,natSW,9,9,7.907554548720999,0,0.8888888888888888,0.8888888888888888
2001,16,fixed_0.3,oth,2,0,2.2728638753899997,-2,0.0,
2001,32,validation_all_rates,con,166,186,187.146900592093,20,0.963855421686747,0.8602150537634409
2001,32,validation_all_rates,lab,412,418,415.02463540479994,6,0.9927184466019418,0.9784688995215312
2001,32,validation_all_rates,lib,52,27,28.094549094724503,-25,0.5192307692307693,1.0
2001,32,validation_all_rates,natSW,9,10,10.1348321946817,1,0.8888888888888888,0.8
2001,32,validation_all_rates,oth,2,0,0.5990818199746,-2,0.0,
2001,32,fixed_0.3,con,166,185,205.65140676755,19,0.963855421686747,0.8648648648648649
2001,32,fixed_0.3,lab,412,419,399.3355130213,7,0.9951456310679612,0.9785202863961814
2001,32,fixed_0.3,lib,52,28,25.281304122684,-24,0.5384615384615384,1.0
2001,32,fixed_0.3,natSW,9,9,9.241612948841,0,0.8888888888888888,0.8888888888888888
2001,32,fixed_0.3,oth,2,0,1.490161379916,-2,0.0,
2001,32_16,validation_all_rates,con,166,186,184.44501942081502,20,0.963855421686747,0.8602150537634409
2001,32_16,validation_all_rates,lab,412,419,413.6561636493,7,0.9951456310679612,0.9785202863961814
2001,32_16,validation_all_rates,lib,52,28,30.7179676208578,-24,0.5384615384615384,1.0
2001,32_16,validation_all_rates,natSW,9,8,9.820683580420098,-1,0.7777777777777778,0.875
2001,32_16,validation_all_rates,oth,2,0,2.36016429343285,-2,0.0,
2001,32_16,fixed_0.3,con,166,202,198.66713888762501,36,0.9698795180722891,0.7970297029702971
2001,32_16,fixed_0.3,lab,412,420,411.125187454,8,0.9951456310679612,0.9761904761904762
2001,32_16,fixed_0.3,lib,52,17,22.87800224135,-35,0.3269230769230769,1.0
2001,32_16,fixed_0.3,natSW,9,2,6.351540379183,-7,0.2222222222222222,1.0
2001,32_16,fixed_0.3,oth,2,0,1.9781290693805,-2,0.0,
2001,64_32,validation_all_rates,con,166,178,175.28341801181801,12,0.9457831325301205,0.8820224719101124
2001,64_32,validation_all_rates,lab,412,419,419.01052015259995,7,0.9927184466019418,0.9761336515513126
2001,64_32,validation_all_rates,lib,52,34,35.9438924395056,-18,0.6153846153846154,0.9411764705882353
2001,64_32,validation_all_rates,natSW,9,10,9.839897761892,1,0.8888888888888888,0.8
2001,64_32,validation_all_rates,oth,2,0,0.92227223412952,-2,0.0,
2001,64_32,fixed_0.3,con,166,202,208.605440492273,36,0.9698795180722891,0.7970297029702971
2001,64_32,fixed_0.3,lab,412,419,404.09288964985996,7,0.9951456310679612,0.9785202863961814
2001,64_32,fixed_0.3,lib,52,15,20.820864164776,-37,0.28846153846153844,1.0
2001,64_32,fixed_0.3,natSW,9,5,6.196406846097,-4,0.5555555555555556,1.0
2001,64_32,fixed_0.3,oth,2,0,1.284396894079,-2,0.0,
2005,16,validation_all_rates,con,198,301,296.92210661513,103,0.98989898989899,0.6511627906976745
2005,16,validation_all_rates,lab,355,279,276.22090605982476,-76,0.7464788732394366,0.9498207885304659
2005,16,validation_all_rates,lib,62,38,40.09480269698,-24,0.6129032258064516,1.0
2005,16,validation_all_rates,natSW,9,10,13.0225026601168,1,0.7777777777777778,0.7
2005,16,validation_all_rates,oth,4,0,1.7396818177774,-4,0.0,
2005,16,fixed_0.3,con,198,305,298.45175902809,107,0.9949494949494949,0.6459016393442623
2005,16,fixed_0.3,lab,355,278,276.070523438875,-77,0.7464788732394366,0.9532374100719424
2005,16,fixed_0.3,lib,62,35,39.048527511747,-27,0.5645161290322581,1.0
2005,16,fixed_0.3,natSW,9,10,12.7441307741178,1,0.7777777777777778,0.7
2005,16,fixed_0.3,oth,4,0,1.6850590607477,-4,0.0,
2005,32,validation_all_rates,con,198,301,297.4905198393,103,0.98989898989899,0.6511627906976745
2005,32,validation_all_rates,lab,355,281,278.3671071346865,-74,0.752112676056338,0.9501779359430605
2005,32,validation_all_rates,lib,62,36,38.457999180208,-26,0.5806451612903226,1.0
2005,32,validation_all_rates,natSW,9,10,11.844397224914001,1,0.7777777777777778,0.7
2005,32,validation_all_rates,oth,4,0,1.8399760026133998,-4,0.0,
2005,32,fixed_0.3,con,198,314,308.861171352,116,0.9949494949494949,0.6273885350318471
2005,32,fixed_0.3,lab,355,270,265.53823494428343,-85,0.723943661971831,0.9518518518518518
2005,32,fixed_0.3,lib,62,34,37.863003427525,-28,0.5483870967741935,1.0
2005,32,fixed_0.3,natSW,9,10,13.6243107395458,1,0.7777777777777778,0.7
2005,32,fixed_0.3,oth,4,0,2.113278742886,-4,0.0,
2005,32_16,validation_all_rates,con,198,312,305.0508252289,114,0.98989898989899,0.6282051282051282
2005,32_16,validation_all_rates,lab,355,270,270.97625975902463,-85,0.7211267605633803,0.9481481481481482
2005,32_16,validation_all_rates,lib,62,36,39.354079894725004,-26,0.5806451612903226,1.0
2005,32_16,validation_all_rates,natSW,9,10,11.452691335599798,1,0.7777777777777778,0.7
2005,32_16,validation_all_rates,oth,4,0,1.16614424789241,-4,0.0,
2005,32_16,fixed_0.3,con,198,306,301.19237036835,108,0.98989898989899,0.6405228758169934
2005,32_16,fixed_0.3,lab,355,276,275.325508357901,-79,0.7380281690140845,0.9492753623188406
2005,32_16,fixed_0.3,lib,62,36,39.044409103069995,-26,0.5806451612903226,1.0
2005,32_16,fixed_0.3,natSW,9,10,11.1072635107102,1,0.7777777777777778,0.7
2005,32_16,fixed_0.3,oth,4,0,1.3304489413088,-4,0.0,
2005,64_32,validation_all_rates,con,198,313,304.40869525958,115,0.9949494949494949,0.6293929712460063
2005,64_32,validation_all_rates,lab,355,271,272.7742977711889,-84,0.7267605633802817,0.9520295202952029
2005,64_32,validation_all_rates,lib,62,35,38.340413151918995,-27,0.5645161290322581,1.0
2005,64_32,validation_all_rates,natSW,9,9,11.229833606707201,0,0.7777777777777778,0.7777777777777778
2005,64_32,validation_all_rates,oth,4,0,1.2467615185111,-4,0.0,
2005,64_32,fixed_0.3,con,198,310,301.43283777096997,112,0.9949494949494949,0.635483870967742
2005,64_32,fixed_0.3,lab,355,272,273.7839300515582,-83,0.7295774647887324,0.9522058823529411
2005,64_32,fixed_0.3,lib,62,36,39.644282654129995,-26,0.5806451612903226,1.0
2005,64_32,fixed_0.3,natSW,9,10,11.7745114438699,1,0.7777777777777778,0.7
2005,64_32,fixed_0.3,oth,4,0,1.3644385647240997,-4,0.0,
2010,16,validation_all_rates,con,306,375,373.4142773893,69,0.9803921568627451,0.8
2010,16,validation_all_rates,lab,258,208,199.87409709346932,-50,0.7790697674418605,0.9663461538461539
2010,16,validation_all_rates,lib,57,43,49.69483924423599,-14,0.5964912280701754,0.7906976744186046
2010,16,validation_all_rates,natSW,9,6,7.651199951535399,-3,0.6666666666666666,1.0
2010,16,validation_all_rates,oth,2,0,1.36558774970638,-2,0.0,
2010,16,fixed_0.3,con,306,400,392.72183109800005,94,0.9967320261437909,0.7625
2010,16,fixed_0.3,lab,258,200,190.04942238052598,-58,0.751937984496124,0.97
2010,16,fixed_0.3,lib,57,27,39.136363974869994,-30,0.43859649122807015,0.9259259259259259
2010,16,fixed_0.3,natSW,9,5,7.7117786257045,-4,0.5555555555555556,1.0
2010,16,fixed_0.3,oth,2,0,2.380604521999,-2,0.0,
2010,32,validation_all_rates,con,306,391,382.22773761839994,85,0.9934640522875817,0.7774936061381074
2010,32,validation_all_rates,lab,258,204,199.2430198934178,-54,0.7674418604651163,0.9705882352941176
2010,32,validation_all_rates,lib,57,32,41.387345250158006,-25,0.5087719298245614,0.90625
2010,32,validation_all_rates,natSW,9,5,7.8033492112432,-4,0.5555555555555556,1.0
2010,32,validation_all_rates,oth,2,0,1.3385499114558,-2,0.0,
2010,32,fixed_0.3,con,306,403,396.8152763009,97,0.9967320261437909,0.7568238213399504
2010,32,fixed_0.3,lab,258,196,188.6790976918962,-62,0.7403100775193798,0.9744897959183674
2010,32,fixed_0.3,lib,57,27,36.55893574023901,-30,0.43859649122807015,0.9259259259259259
2010,32,fixed_0.3,natSW,9,6,8.3005625355751,-3,0.6666666666666666,1.0
2010,32,fixed_0.3,oth,2,0,1.6461257188845,-2,0.0,
2010,32_16,validation_all_rates,con,306,369,371.2873235941,63,0.9869281045751634,0.8184281842818428
2010,32_16,validation_all_rates,lab,258,224,213.0175872287565,-34,0.8294573643410853,0.9553571428571429
2010,32_16,validation_all_rates,lib,57,32,38.306625528089995,-25,0.5087719298245614,0.90625
2010,32_16,validation_all_rates,natSW,9,7,7.520436319015841,-2,0.7777777777777778,1.0
2010,32_16,validation_all_rates,oth,2,0,1.86802798157415,-2,0.0,
2010,32_16,fixed_0.3,con,306,393,387.4796108649,87,0.9934640522875817,0.7735368956743003
2010,32_16,fixed_0.3,lab,258,202,199.3449315485563,-56,0.7596899224806202,0.9702970297029703
2010,32_16,fixed_0.3,lib,57,32,38.4318712285925,-25,0.5087719298245614,0.90625
2010,32_16,fixed_0.3,natSW,9,5,5.928984575087769,-4,0.5555555555555556,1.0
2010,32_16,fixed_0.3,oth,2,0,0.814602627242592,-2,0.0,
2010,64_32,validation_all_rates,con,306,353,351.7363245366,47,0.9803921568627451,0.8498583569405099
2010,64_32,validation_all_rates,lab,258,234,229.4995310334757,-24,0.8643410852713178,0.9529914529914529
2010,64_32,validation_all_rates,lib,57,38,40.679673832679,-19,0.5964912280701754,0.8947368421052632
2010,64_32,validation_all_rates,natSW,9,7,8.81698378083456,-2,0.7777777777777778,1.0
2010,64_32,validation_all_rates,oth,2,0,1.26748683695649,-2,0.0,
2010,64_32,fixed_0.3,con,306,384,378.0758393891,78,0.9934640522875817,0.7916666666666666
2010,64_32,fixed_0.3,lab,258,211,206.80746556261192,-47,0.7906976744186046,0.966824644549763
2010,64_32,fixed_0.3,lib,57,32,39.68216596686,-25,0.5087719298245614,0.90625
2010,64_32,fixed_0.3,natSW,9,5,6.538887046237999,-4,0.5555555555555556,1.0
2010,64_32,fixed_0.3,oth,2,0,0.8956413461505301,-2,0.0,
2015,16,validation_all_rates,con,330,254,257.488478503227,-76,0.7606060606060606,0.9881889763779528
2015,16,validation_all_rates,lab,231,321,316.21654546969995,90,0.9653679653679653,0.6947040498442367
2015,16,validation_all_rates,lib,8,50,49.133131360056,42,1.0,0.16
2015,16,validation_all_rates,natSW,59,7,8.036523414221001,-52,0.11864406779661017,1.0
2015,16,validation_all_rates,oth,4,0,1.125322487209,-4,0.0,
2015,16,fixed_0.3,con,330,252,254.743219588824,-78,0.7575757575757576,0.9920634920634921
2015,16,fixed_0.3,lab,231,323,320.65435121049404,92,0.9696969696969697,0.6934984520123839
2015,16,fixed_0.3,lib,8,49,47.415863659530004,41,1.0,0.16326530612244897
2015,16,fixed_0.3,natSW,59,8,8.3816637175425,-51,0.13559322033898305,1.0
2015,16,fixed_0.3,oth,4,0,0.8049014341730001,-4,0.0,
2015,32,validation_all_rates,con,330,246,242.682401282368,-84,0.7393939393939394,0.991869918699187
2015,32,validation_all_rates,lab,231,332,328.44087612583,101,0.9696969696969697,0.6746987951807228
2015,32,validation_all_rates,lib,8,49,52.534975779456,41,1.0,0.16326530612244897
2015,32,validation_all_rates,natSW,59,5,7.443855352022,-54,0.0847457627118644,1.0
2015,32,validation_all_rates,oth,4,0,0.897891543714,-4,0.0,
2015,32,fixed_0.3,con,330,246,242.682401282368,-84,0.7393939393939394,0.991869918699187
2015,32,fixed_0.3,lab,231,332,328.44087612583,101,0.9696969696969697,0.6746987951807228
2015,32,fixed_0.3,lib,8,49,52.534975779456,41,1.0,0.16326530612244897
2015,32,fixed_0.3,natSW,59,5,7.443855352022,-54,0.0847457627118644,1.0
2015,32,fixed_0.3,oth,4,0,0.897891543714,-4,0.0,
2015,32_16,validation_all_rates,con,330,263,264.090220708709,-67,0.7878787878787878,0.9885931558935361
