evaluation_year,feature,training_min,training_max,evaluation_value,outside_training_range
1997,Conservative,0.426875,0.426875,0.3091071428571428,True
1997,Labour,0.34125,0.34125,0.4932142857142857,True
1997,LD,0.2146875,0.2146875,0.1342142857142857,True
2001,Conservative,0.3773333333333333,0.426875,0.3142857142857143,True
2001,Labour,0.34125,0.3903333333333333,0.4485714285714285,True
2001,LD,0.1946666666666666,0.2146875,0.1766666666666666,True
2005,Conservative,0.3091071428571428,0.426875,0.32625,False
2005,Labour,0.34125,0.4932142857142857,0.375,False
2005,LD,0.1342142857142857,0.2146875,0.2275,True
2010,Conservative,0.3091071428571428,0.426875,0.3576923076923076,False
2010,Labour,0.34125,0.4932142857142857,0.2807692307692307,True
2010,LD,0.1342142857142857,0.2146875,0.27,True
2015,Conservative,0.3091071428571428,0.426875,0.3357894736842105,False
2015,Labour,0.34125,0.4932142857142857,0.3336842105263158,True
2015,LD,0.1342142857142857,0.2275,0.0921052631578947,True
2017,Conservative,0.3091071428571428,0.426875,0.4286666666666667,True
2017,Labour,0.2807692307692307,0.4932142857142857,0.368,False
2017,LD,0.1342142857142857,0.27,0.0773333333333333,True
2019,Conservative,0.3091071428571428,0.426875,0.4310416666666666,True
2019,Labour,0.2807692307692307,0.4932142857142857,0.332375,False
2019,LD,0.0921052631578947,0.27,0.120125,False
