stage,train_through,validation_year,evaluation_year,architecture,learning_rate,patience,seeds,validation_accuracy,validation_changed_seat_accuracy,validation_changed_seats,validation_log_loss,validation_brier_score,validation_rows,validation_unseen_winners,evaluation_accuracy,evaluation_changed_seat_accuracy,evaluation_changed_seats,evaluation_log_loss,evaluation_brier_score,evaluation_rows,evaluation_unseen_winners,policy
screening,1987,1992,1997,16,0.5,10,3,0.9116719242902208,0.2156862745098039,51,0.2088080925346296,0.1226129093099502,634,0,0.6879875195007801,0.0625,160,1.3594729984501406,0.5527579000118703,641,0,validation_all_rates
screening,1987,1992,1997,16,0.5,10,3,0.9116719242902208,0.2156862745098039,51,0.2088080925346296,0.1226129093099502,634,0,0.6879875195007801,0.0625,160,1.3594729984501406,0.5527579000118703,641,0,validation_midrange
screening,1987,1992,1997,16,0.3,10,3,0.9132492113564668,0.1372549019607843,51,0.2189145976940788,0.1288694530386677,634,0,0.6848673946957878,0.05,160,1.4153035545020136,0.5759350686267601,641,0,validation_compact
screening,1987,1992,1997,16,0.01,10,3,0.8974763406940063,0.0980392156862745,51,0.2460506683264489,0.1422719230153818,634,0,0.6677067082683308,0.03125,160,1.2224391776161665,0.5759519636243848,641,0,fixed_0.01
screening,1987,1992,1997,16,0.03,10,3,0.8958990536277602,0.0980392156862745,51,0.2476672749510243,0.1424576782043159,634,0,0.6661466458658346,0.03125,160,1.2034303045717414,0.5727805563689564,641,0,fixed_0.03
screening,1987,1992,1997,16,0.05,10,3,0.9132492113564668,0.1372549019607843,51,0.2260586193495355,0.1337632835664883,634,0,0.6755070202808112,0.03125,160,1.230003059125295,0.5752863634959262,641,0,fixed_0.05
screening,1987,1992,1997,16,0.1,10,3,0.9116719242902208,0.1372549019607843,51,0.2254504273872802,0.1336526002939688,634,0,0.6755070202808112,0.03125,160,1.2480801698800434,0.5736176974995183,641,0,fixed_0.1
screening,1987,1992,1997,16,0.2,10,3,0.916403785488959,0.1764705882352941,51,0.2255697208929528,0.1309596971112621,634,0,0.6879875195007801,0.05625,160,1.509267668391331,0.5818834234746195,641,0,fixed_0.2
screening,1987,1992,1997,16,0.3,10,3,0.9132492113564668,0.1372549019607843,51,0.2189145976940788,0.1288694530386677,634,0,0.6848673946957878,0.05,160,1.4153035545020136,0.5759350686267601,641,0,fixed_0.3
screening,1987,1992,1997,16,0.5,10,3,0.9116719242902208,0.2156862745098039,51,0.2088080925346296,0.1226129093099502,634,0,0.6879875195007801,0.0625,160,1.3594729984501406,0.5527579000118703,641,0,fixed_0.5
screening,1987,1992,1997,16,1.0,10,3,0.9132492113564668,0.1568627450980392,51,0.2210438494265706,0.1281752506120126,634,0,0.6879875195007801,0.05625,160,1.4496288381161082,0.5704802708677521,641,0,fixed_1
screening,1987,1992,1997,16,0.5,20,3,0.9116719242902208,0.2156862745098039,51,0.2088080925346296,0.1226129093099502,634,0,0.6879875195007801,0.0625,160,1.3594729984501406,0.5527579000118703,641,0,validation_all_rates
screening,1987,1992,1997,16,0.5,20,3,0.9116719242902208,0.2156862745098039,51,0.2088080925346296,0.1226129093099502,634,0,0.6879875195007801,0.0625,160,1.3594729984501406,0.5527579000118703,641,0,validation_midrange
screening,1987,1992,1997,16,0.3,20,3,0.9132492113564668,0.1372549019607843,51,0.2189145976940788,0.1288694530386677,634,0,0.6848673946957878,0.05,160,1.4153035545020136,0.5759350686267601,641,0,validation_compact
screening,1987,1992,1997,16,0.01,20,3,0.8974763406940063,0.0980392156862745,51,0.2460506683264489,0.1422719230153818,634,0,0.6677067082683308,0.03125,160,1.2224391776161665,0.5759519636243848,641,0,fixed_0.01
screening,1987,1992,1997,16,0.03,20,3,0.9148264984227128,0.1372549019607843,51,0.227990428103728,0.1348819962469295,634,0,0.6770670826833073,0.03125,160,1.2683544320229414,0.5802260095921875,641,0,fixed_0.03
