patience,best_epoch,stopping_epoch,best_validation_loss,hit_epoch_cap,parameters,elapsed_seconds,stage,train_through,validation_year,architecture,learning_rate,seed,validation_accuracy,validation_changed_seat_accuracy,validation_changed_seats,validation_log_loss,validation_brier_score,validation_rows,validation_unseen_winners
10,150,160,0.2361007630825042,False,533,1.2799773249998907,screening,1987,1992,16,0.01,101223,0.9037854889589906,0.0784313725490196,51,0.236100765290543,0.1377912592247789,634,0
20,150,170,0.2361007630825042,False,533,1.339940791999652,screening,1987,1992,16,0.01,101223,0.9037854889589906,0.0784313725490196,51,0.236100765290543,0.1377912592247789,634,0
50,150,200,0.2361007630825042,False,533,1.520708375999675,screening,1987,1992,16,0.01,101223,0.9037854889589906,0.0784313725490196,51,0.236100765290543,0.1377912592247789,634,0
10,88,98,0.2613684833049774,False,533,0.8889751659999092,screening,1987,1992,16,0.01,101224,0.88801261829653,0.0784313725490196,51,0.26136847980842,0.1447380548644704,634,0
20,88,108,0.2613684833049774,False,533,0.9519316009996146,screening,1987,1992,16,0.01,101224,0.88801261829653,0.0784313725490196,51,0.26136847980842,0.1447380548644704,634,0
50,88,138,0.2613684833049774,False,533,1.1315512779997334,screening,1987,1992,16,0.01,101224,0.88801261829653,0.0784313725490196,51,0.26136847980842,0.1447380548644704,634,0
10,87,97,0.2752475142478943,False,533,0.6931815469997673,screening,1987,1992,16,0.01,101225,0.8848580441640379,0.1176470588235294,51,0.2752474717829017,0.1540523860540283,634,0
20,87,107,0.2752475142478943,False,533,0.7741436279998197,screening,1987,1992,16,0.01,101225,0.8848580441640379,0.1176470588235294,51,0.2752474717829017,0.1540523860540283,634,0
50,346,396,0.2482991516590118,False,533,2.6505766809996203,screening,1987,1992,16,0.01,101225,0.9116719242902208,0.0980392156862745,51,0.2482991184470874,0.1391556069082392,634,0
10,40,50,0.2366958558559417,False,533,0.359820486999979,screening,1987,1992,16,0.03,101223,0.9053627760252366,0.0980392156862745,51,0.2366958211068453,0.1367181390718689,634,0
20,54,74,0.2352907508611679,False,533,0.5274473540002873,screening,1987,1992,16,0.03,101223,0.9037854889589906,0.0784313725490196,51,0.2352907465046812,0.1376543245534403,634,0
50,54,104,0.2352907508611679,False,533,0.7094948240001031,screening,1987,1992,16,0.03,101223,0.9037854889589906,0.0784313725490196,51,0.2352907465046812,0.1376543245534403,634,0
10,29,39,0.2611947655677795,False,533,0.2518446249996486,screening,1987,1992,16,0.03,101224,0.88801261829653,0.0784313725490196,51,0.2611947518070685,0.1443921852466347,634,0
20,29,49,0.2611947655677795,False,533,0.3168568050000431,screening,1987,1992,16,0.03,101224,0.88801261829653,0.0784313725490196,51,0.2611947518070685,0.1443921852466347,634,0
50,119,169,0.2458316832780838,False,533,1.0840892379997058,screening,1987,1992,16,0.03,101224,0.9085173501577288,0.0784313725490196,51,0.245831695878181,0.1395404818733485,634,0
10,29,39,0.2743602395057678,False,533,0.2476685410001664,screening,1987,1992,16,0.03,101225,0.8848580441640379,0.1176470588235294,51,0.2743602439308974,0.1536361482731939,634,0
20,112,132,0.2477370053529739,False,533,1.0089660899998307,screening,1987,1992,16,0.03,101225,0.9116719242902208,0.0980392156862745,51,0.24773698417049,0.1391402751859425,634,0
50,112,162,0.2477370053529739,False,533,1.2806089149999025,screening,1987,1992,16,0.03,101225,0.9116719242902208,0.0980392156862745,51,0.24773698417049,0.1391402751859425,634,0
10,30,40,0.2348167598247528,False,533,0.2601232750002964,screening,1987,1992,16,0.05,101223,0.9037854889589906,0.0784313725490196,51,0.2348167583699203,0.1371886126119623,634,0
20,30,50,0.2348167598247528,False,533,0.3226403429998754,screening,1987,1992,16,0.05,101223,0.9037854889589906,0.0784313725490196,51,0.2348167583699203,0.1371886126119623,634,0
50,30,80,0.2348167598247528,False,533,0.5620286450002823,screening,1987,1992,16,0.05,101223,0.9037854889589906,0.0784313725490196,51,0.2348167583699203,0.1371886126119623,634,0
10,16,26,0.2610087394714355,False,533,0.1858871770000405,screening,1987,1992,16,0.05,101224,0.889589905362776,0.0980392156862745,51,0.2610087579064846,0.1426140740029556,634,0
20,16,36,0.2610087394714355,False,533,0.2483884810003473,screening,1987,1992,16,0.05,101224,0.889589905362776,0.0980392156862745,51,0.2610087579064846,0.1426140740029556,634,0
50,84,134,0.2444581687450409,False,533,0.9080242009999892,screening,1987,1992,16,0.05,101224,0.9100946372239748,0.0980392156862745,51,0.2444581596984963,0.1382055161047064,634,0
10,67,77,0.2464871108531952,False,533,0.5121482999998079,screening,1987,1992,16,0.05,101225,0.9116719242902208,0.0980392156862745,51,0.2464871274464534,0.1387351512771286,634,0
20,67,87,0.2464871108531952,False,533,0.5845876299999873,screening,1987,1992,16,0.05,101225,0.9116719242902208,0.0980392156862745,51,0.2464871274464534,0.1387351512771286,634,0
50,67,117,0.2464871108531952,False,533,0.817652532000011,screening,1987,1992,16,0.05,101225,0.9116719242902208,0.0980392156862745,51,0.2464871274464534,0.1387351512771286,634,0
10,17,27,0.2291405349969864,False,533,0.2104339620000246,screening,1987,1992,16,0.1,101223,0.9053627760252366,0.0980392156862745,51,0.2291405387496239,0.1346853372304768,634,0
20,17,37,0.2291405349969864,False,533,0.2749414179997984,screening,1987,1992,16,0.1,101223,0.9053627760252366,0.0980392156862745,51,0.2291405387496239,0.1346853372304768,634,0
50,17,67,0.2291405349969864,False,533,0.462893460000032,screening,1987,1992,16,0.1,101223,0.9053627760252366,0.0980392156862745,51,0.2291405387496239,0.1346853372304768,634,0
10,9,19,0.2585557699203491,False,533,0.1590435499997511,screening,1987,1992,16,0.1,101224,0.889589905362776,0.0980392156862745,51,0.2585557684292849,0.1433526226126294,634,0
20,40,60,0.2426026910543441,False,533,0.4065865379998286,screening,1987,1992,16,0.1,101224,0.9085173501577288,0.0784313725490196,51,0.2426027035621114,0.1377180297548222,634,0
50,40,90,0.2426026910543441,False,533,0.6598055669996938,screening,1987,1992,16,0.1,101224,0.9085173501577288,0.0784313725490196,51,0.2426027035621114,0.1377180297548222,634,0
10,29,39,0.2390712201595306,False,533,0.3732809900002394,screening,1987,1992,16,0.1,101225,0.9100946372239748,0.1176470588235294,51,0.2390712020409631,0.1370182875826624,634,0
