evaluation_year,architecture,policy,seed_accuracy_mean,seed_accuracy_sd,seed_accuracy_min,seed_accuracy_max,seed_changed_accuracy_sd
1997,16,fixed_0.3,0.6819032761310453,0.005811683232843908,0.6755070202808112,0.6926677067082684,0.013756311682682648
1997,16,validation_all_rates,0.6929797191887676,0.012562566027396907,0.6770670826833073,0.7145085803432137,0.04986526986680097
1997,32,fixed_0.3,0.6822152886115445,0.004097948685355324,0.6770670826833073,0.6879875195007801,0.010704360482220943
1997,32,validation_all_rates,0.693603744149766,0.017468364863760157,0.6739469578783152,0.733229329173167,0.06577859010853505
1997,32_16,fixed_0.3,0.6828393135725429,0.015054579730668162,0.6677067082683308,0.7207488299531981,0.06361846451917695
1997,32_16,validation_all_rates,0.6878315132605304,0.02214153063828074,0.6692667706708268,0.748829953198128,0.09984580125262042
1997,64_32,fixed_0.3,0.6794071762870515,0.006337003435753473,0.6677067082683308,0.6879875195007801,0.02383573705827263
1997,64_32,validation_all_rates,0.6956318252730109,0.027580228648506788,0.656786271450858,0.748829953198128,0.09478594305064439
2001,16,fixed_0.3,0.9279251170046802,0.025206798082996466,0.8736349453978159,0.9578783151326054,0.088823760862886
2001,16,validation_all_rates,0.9224648985959438,0.029371279379419524,0.8720748829953198,0.9578783151326054,0.09011737887504631
2001,32,fixed_0.3,0.9237129485179407,0.029245796004865522,0.8533541341653667,0.953198127925117,0.09378857231185629
2001,32,validation_all_rates,0.9290171606864275,0.024537599037761895,0.8845553822152886,0.9641185647425897,0.0856168611523469
2001,32_16,fixed_0.3,0.9145085803432137,0.02839523097002883,0.8627145085803433,0.9516380655226209,0.09043789220055393
2001,32_16,validation_all_rates,0.921216848673947,0.0231190042651814,0.8705148205928237,0.9516380655226209,0.05572889624371911
2001,64_32,fixed_0.3,0.9009360374414976,0.04804074759390915,0.8174726989079563,0.9656786271450858,0.11628575382741377
2001,64_32,validation_all_rates,0.9316692667706707,0.022557157294603763,0.8876755070202809,0.953198127925117,0.06273105439242341
2005,16,fixed_0.3,0.8065286624203821,0.019331819375238122,0.7866242038216561,0.8471337579617835,0.04051580836418427
2005,16,validation_all_rates,0.8093949044585986,0.032417486526314286,0.7643312101910829,0.8694267515923567,0.04692959683681607
2005,32,fixed_0.3,0.7910828025477707,0.025519692934770986,0.7547770700636943,0.8296178343949044,0.012944996269695148
2005,32,validation_all_rates,0.8082802547770701,0.04130725892476052,0.7643312101910829,0.9092356687898089,0.04089388008665985
2005,32_16,fixed_0.3,0.8019108280254776,0.038672381894314795,0.7229299363057324,0.8678343949044586,0.024879587586178555
2005,32_16,validation_all_rates,0.7955414012738854,0.038998834849193434,0.7388535031847133,0.8805732484076433,0.04765274570166867
