evaluation_year,architecture,policy,previous_party,actual_party,seats,correctly_predicted,accuracy,predicted_previous_party
1997,16,validation_all_rates,con,con,121,121,1.0,121
1997,16,validation_all_rates,con,lab,131,8,0.061068702290076333,123
1997,16,validation_all_rates,con,lib,24,0,0.0,23
1997,16,validation_all_rates,con,natSW,2,0,0.0,2
1997,16,validation_all_rates,con,oth,1,0,0.0,1
1997,16,validation_all_rates,lab,lab,255,255,1.0,255
1997,16,validation_all_rates,lab,oth,1,0,0.0,1
1997,16,validation_all_rates,lib,lab,1,1,1.0,0
1997,16,validation_all_rates,lib,lib,8,6,0.75,6
1997,16,validation_all_rates,natSW,natSW,6,4,0.6666666666666666,4
1997,16,fixed_0.3,con,con,121,121,1.0,121
1997,16,fixed_0.3,con,lab,131,6,0.04580152671755725,125
1997,16,fixed_0.3,con,lib,24,0,0.0,24
1997,16,fixed_0.3,con,natSW,2,1,0.5,1
1997,16,fixed_0.3,con,oth,1,0,0.0,1
1997,16,fixed_0.3,lab,lab,255,255,1.0,255
1997,16,fixed_0.3,lab,oth,1,0,0.0,1
1997,16,fixed_0.3,lib,lab,1,1,1.0,0
1997,16,fixed_0.3,lib,lib,8,6,0.75,6
1997,16,fixed_0.3,natSW,natSW,6,4,0.6666666666666666,4
1997,32,validation_all_rates,con,con,121,121,1.0,121
1997,32,validation_all_rates,con,lab,131,7,0.05343511450381679,124
1997,32,validation_all_rates,con,lib,24,0,0.0,23
1997,32,validation_all_rates,con,natSW,2,2,1.0,0
1997,32,validation_all_rates,con,oth,1,0,0.0,1
1997,32,validation_all_rates,lab,lab,255,255,1.0,255
1997,32,validation_all_rates,lab,oth,1,0,0.0,1
1997,32,validation_all_rates,lib,lab,1,1,1.0,0
1997,32,validation_all_rates,lib,lib,8,6,0.75,6
1997,32,validation_all_rates,natSW,natSW,6,5,0.8333333333333334,5
1997,32,fixed_0.3,con,con,121,121,1.0,121
1997,32,fixed_0.3,con,lab,131,6,0.04580152671755725,125
1997,32,fixed_0.3,con,lib,24,0,0.0,24
1997,32,fixed_0.3,con,natSW,2,1,0.5,1
1997,32,fixed_0.3,con,oth,1,0,0.0,1
1997,32,fixed_0.3,lab,lab,255,255,1.0,255
1997,32,fixed_0.3,lab,oth,1,0,0.0,1
1997,32,fixed_0.3,lib,lab,1,1,1.0,0
1997,32,fixed_0.3,lib,lib,8,6,0.75,6
1997,32,fixed_0.3,natSW,natSW,6,4,0.6666666666666666,4
1997,32_16,validation_all_rates,con,con,121,121,1.0,121
1997,32_16,validation_all_rates,con,lab,131,7,0.05343511450381679,124
1997,32_16,validation_all_rates,con,lib,24,0,0.0,23
1997,32_16,validation_all_rates,con,natSW,2,0,0.0,2
1997,32_16,validation_all_rates,con,oth,1,0,0.0,1
1997,32_16,validation_all_rates,lab,lab,255,255,1.0,255
1997,32_16,validation_all_rates,lab,oth,1,0,0.0,1
1997,32_16,validation_all_rates,lib,lab,1,1,1.0,0
1997,32_16,validation_all_rates,lib,lib,8,6,0.75,6
1997,32_16,validation_all_rates,natSW,natSW,6,0,0.0,0
1997,32_16,fixed_0.3,con,con,121,121,1.0,121
1997,32_16,fixed_0.3,con,lab,131,7,0.05343511450381679,124
1997,32_16,fixed_0.3,con,lib,24,0,0.0,23
1997,32_16,fixed_0.3,con,natSW,2,0,0.0,2
1997,32_16,fixed_0.3,con,oth,1,0,0.0,1
1997,32_16,fixed_0.3,lab,lab,255,255,1.0,255
1997,32_16,fixed_0.3,lab,oth,1,0,0.0,1
1997,32_16,fixed_0.3,lib,lab,1,1,1.0,0
1997,32_16,fixed_0.3,lib,lib,8,5,0.625,5
1997,32_16,fixed_0.3,natSW,natSW,6,1,0.16666666666666666,1
1997,64_32,validation_all_rates,con,con,121,121,1.0,121
1997,64_32,validation_all_rates,con,lab,131,8,0.061068702290076333,123
1997,64_32,validation_all_rates,con,lib,24,0,0.0,23
1997,64_32,validation_all_rates,con,natSW,2,0,0.0,2
1997,64_32,validation_all_rates,con,oth,1,0,0.0,1
1997,64_32,validation_all_rates,lab,lab,255,255,1.0,255
1997,64_32,validation_all_rates,lab,oth,1,0,0.0,1
1997,64_32,validation_all_rates,lib,lab,1,1,1.0,0
1997,64_32,validation_all_rates,lib,lib,8,6,0.75,6
1997,64_32,validation_all_rates,natSW,natSW,6,3,0.5,3
1997,64_32,fixed_0.3,con,con,121,121,1.0,121
1997,64_32,fixed_0.3,con,lab,131,7,0.05343511450381679,124
1997,64_32,fixed_0.3,con,lib,24,0,0.0,23
1997,64_32,fixed_0.3,con,natSW,2,0,0.0,2
1997,64_32,fixed_0.3,con,oth,1,0,0.0,1
1997,64_32,fixed_0.3,lab,lab,255,255,1.0,255
1997,64_32,fixed_0.3,lab,oth,1,0,0.0,1
1997,64_32,fixed_0.3,lib,lab,1,1,1.0,0
1997,64_32,fixed_0.3,lib,lib,8,6,0.75,6
1997,64_32,fixed_0.3,natSW,natSW,6,2,0.3333333333333333,2
2001,16,validation_all_rates,con,con,157,157,1.0,157
2001,16,validation_all_rates,con,lab,1,0,0.0,1
2001,16,validation_all_rates,con,lib,8,0,0.0,8
2001,16,validation_all_rates,lab,con,5,0,0.0,5
2001,16,validation_all_rates,lab,lab,409,409,1.0,409
2001,16,validation_all_rates,lab,lib,1,0,0.0,1
2001,16,validation_all_rates,lab,natSW,1,0,0.0,1
2001,16,validation_all_rates,lab,oth,2,0,0.0,2
2001,16,validation_all_rates,lib,con,2,2,1.0,0
2001,16,validation_all_rates,lib,lib,43,26,0.6046511627906976,26
2001,16,validation_all_rates,natSW,con,1,0,0.0,1
2001,16,validation_all_rates,natSW,lab,1,0,0.0,1
2001,16,validation_all_rates,natSW,natSW,8,8,1.0,8
2001,16,validation_all_rates,oth,con,1,1,1.0,0
2001,16,validation_all_rates,oth,lab,1,0,0.0,0
2001,16,fixed_0.3,con,con,157,157,1.0,157
2001,16,fixed_0.3,con,lab,1,0,0.0,1
2001,16,fixed_0.3,con,lib,8,0,0.0,8
2001,16,fixed_0.3,lab,con,5,0,0.0,5
2001,16,fixed_0.3,lab,lab,409,409,1.0,409
2001,16,fixed_0.3,lab,lib,1,0,0.0,1
2001,16,fixed_0.3,lab,natSW,1,0,0.0,1
2001,16,fixed_0.3,lab,oth,2,0,0.0,2
2001,16,fixed_0.3,lib,con,2,2,1.0,0
2001,16,fixed_0.3,lib,lib,43,28,0.6511627906976745,28
2001,16,fixed_0.3,natSW,con,1,0,0.0,1
2001,16,fixed_0.3,natSW,lab,1,1,1.0,0
2001,16,fixed_0.3,natSW,natSW,8,8,1.0,8
2001,16,fixed_0.3,oth,con,1,1,1.0,0
2001,16,fixed_0.3,oth,lab,1,0,0.0,0
2001,32,validation_all_rates,con,con,157,157,1.0,157
2001,32,validation_all_rates,con,lab,1,0,0.0,1
2001,32,validation_all_rates,con,lib,8,0,0.0,8
2001,32,validation_all_rates,lab,con,5,0,0.0,5
2001,32,validation_all_rates,lab,lab,409,409,1.0,409
2001,32,validation_all_rates,lab,lib,1,0,0.0,1
2001,32,validation_all_rates,lab,natSW,1,0,0.0,1
2001,32,validation_all_rates,lab,oth,2,0,0.0,2
2001,32,validation_all_rates,lib,con,2,2,1.0,0
2001,32,validation_all_rates,lib,lib,43,27,0.627906976744186,27
2001,32,validation_all_rates,natSW,con,1,0,0.0,1
2001,32,validation_all_rates,natSW,lab,1,0,0.0,1
2001,32,validation_all_rates,natSW,natSW,8,8,1.0,8
2001,32,validation_all_rates,oth,con,1,1,1.0,0
2001,32,validation_all_rates,oth,lab,1,0,0.0,0
2001,32,fixed_0.3,con,con,157,157,1.0,157
2001,32,fixed_0.3,con,lab,1,0,0.0,1
2001,32,fixed_0.3,con,lib,8,0,0.0,8
2001,32,fixed_0.3,lab,con,5,0,0.0,5
2001,32,fixed_0.3,lab,lab,409,409,1.0,409
2001,32,fixed_0.3,lab,lib,1,0,0.0,1
