model,accuracy,correct,rows,changed_seat_accuracy,brier_score,log_loss,neural_model,temperature,scotland_nn_weight,other_nn_weight
Regional hybrid,0.8449367088607594,534,632,0.75,0.2874193178340267,0.7285314413991507,mae_10_seeds,0.05,0.0,0.0
Regional hybrid,0.8465189873417721,535,632,0.7533333333333333,0.24241319706831174,0.582498927176203,mae_10_seeds,0.05,0.25,0.0
Regional hybrid,0.8829113924050633,558,632,0.84,0.21589322756625975,0.5546925491715693,mae_10_seeds,0.05,0.5,0.0
Regional hybrid,0.8860759493670886,560,632,0.8566666666666667,0.2078594093278706,0.5474168900587266,mae_10_seeds,0.05,0.75,0.0
Regional hybrid,0.8860759493670886,560,632,0.8566666666666667,0.2183117423531445,0.6513543552988617,mae_10_seeds,0.05,1.0,0.0
Regional hybrid,0.8449367088607594,534,632,0.75,0.29805338116851965,0.5914436574218642,mae_10_seeds,0.1,0.0,0.0
Regional hybrid,0.8544303797468354,540,632,0.77,0.2647193162162509,0.5348161421853499,mae_10_seeds,0.1,0.25,0.0
Regional hybrid,0.8860759493670886,560,632,0.8533333333333334,0.24616102068419587,0.515315164512708,mae_10_seeds,0.1,0.5,0.0
Regional hybrid,0.8860759493670886,560,632,0.8566666666666667,0.24237849457235458,0.5118991101498261,mae_10_seeds,0.1,0.75,0.0
Regional hybrid,0.8860759493670886,560,632,0.8566666666666667,0.2533717378807269,0.6191034601155317,mae_10_seeds,0.1,1.0,0.0
Regional hybrid,0.8449367088607594,534,632,0.75,0.37247574768456265,0.7518064922426516,mae_10_seeds,0.2,0.0,0.0
Regional hybrid,0.8734177215189873,552,632,0.81,0.3522011055166673,0.7199288985440833,mae_10_seeds,0.2,0.25,0.0
Regional hybrid,0.8860759493670886,560,632,0.8566666666666667,0.3420103734329834,0.7059213184295096,mae_10_seeds,0.2,0.5,0.0
Regional hybrid,0.8860759493670886,560,632,0.8566666666666667,0.34190355143351114,0.7049612798474028,mae_10_seeds,0.2,0.75,0.0
Regional hybrid,0.8860759493670886,560,632,0.8566666666666667,0.3518806395182504,0.8082902525136468,mae_10_seeds,0.2,1.0,0.0
Regional hybrid,0.8449367088607594,534,632,0.75,0.2874193178340267,0.7285314413991507,ce_cap10_10_seeds,0.05,0.0,0.0
Regional hybrid,0.8465189873417721,535,632,0.7533333333333333,0.25131730519905565,0.6011242539041864,ce_cap10_10_seeds,0.05,0.25,0.0
Regional hybrid,0.8591772151898734,543,632,0.78,0.22633802844495807,0.5717468521497585,ce_cap10_10_seeds,0.05,0.5,0.0
Regional hybrid,0.8892405063291139,562,632,0.8466666666666667,0.2124814875717339,0.5591666733073519,ce_cap10_10_seeds,0.05,0.75,0.0
Regional hybrid,0.8876582278481012,561,632,0.8566666666666667,0.2097476825793832,0.5623722310225264,ce_cap10_10_seeds,0.05,1.0,0.0
Regional hybrid,0.8449367088607594,534,632,0.75,0.29805338116851965,0.5914436574218642,ce_cap10_10_seeds,0.1,0.0,0.0
Regional hybrid,0.8481012658227848,536,632,0.7566666666666667,0.2725763464931285,0.5513827051536603,ce_cap10_10_seeds,0.1,0.25,0.0
Regional hybrid,0.870253164556962,550,632,0.8033333333333333,0.2552097177577391,0.5333632255460391,ce_cap10_10_seeds,0.1,0.5,0.0
Regional hybrid,0.8924050632911392,564,632,0.8533333333333334,0.24595349496235147,0.5255424689007689,ce_cap10_10_seeds,0.1,0.75,0.0
Regional hybrid,0.8876582278481012,561,632,0.8566666666666667,0.24480767810696563,0.5301213358391965,ce_cap10_10_seeds,0.1,1.0,0.0
Regional hybrid,0.8449367088607594,534,632,0.75,0.37247574768456265,0.7518064922426516,ce_cap10_10_seeds,0.2,0.0,0.0
Regional hybrid,0.8591772151898734,543,632,0.78,0.35873448933758084,0.7328475981845745,ce_cap10_10_seeds,0.2,0.25,0.0
Regional hybrid,0.8860759493670886,560,632,0.83,0.34929420856524124,0.7217398623886668,ce_cap10_10_seeds,0.2,0.5,0.0
Regional hybrid,0.8876582278481012,561,632,0.8566666666666667,0.344154905367544,0.7166178559461905,ce_cap10_10_seeds,0.2,0.75,0.0
Regional hybrid,0.8876582278481012,561,632,0.8566666666666667,0.3433165797444891,0.7193081282373116,ce_cap10_10_seeds,0.2,1.0,0.0
Regional hybrid,0.8449367088607594,534,632,0.75,0.2874193178340267,0.7285314413991507,ce_cap25_10_seeds,0.05,0.0,0.0
Regional hybrid,0.8449367088607594,534,632,0.75,0.26782455619239526,0.6384954602876574,ce_cap25_10_seeds,0.05,0.25,0.0
Regional hybrid,0.8449367088607594,534,632,0.75,0.2519399065579164,0.6121777067388954,ce_cap25_10_seeds,0.05,0.5,0.0
Regional hybrid,0.8433544303797469,533,632,0.7466666666666667,0.2397653689305904,0.5972797435086532,ce_cap25_10_seeds,0.05,0.75,0.0
Regional hybrid,0.8465189873417721,535,632,0.7533333333333333,0.23130094331041698,0.5885120273776123,ce_cap25_10_seeds,0.05,1.0,0.0
Regional hybrid,0.8449367088607594,534,632,0.75,0.29805338116851965,0.5914436574218642,ce_cap25_10_seeds,0.1,0.0,0.0
Regional hybrid,0.8449367088607594,534,632,0.75,0.28694772681263925,0.5756039206343554,ce_cap25_10_seeds,0.1,0.25,0.0
Regional hybrid,0.8449367088607594,534,632,0.75,0.27796376830559244,0.5660336345399882,ce_cap25_10_seeds,0.1,0.5,0.0
Regional hybrid,0.8449367088607594,534,632,0.75,0.27110150564737917,0.5598544410225019,ce_cap25_10_seeds,0.1,0.75,0.0
Regional hybrid,0.8465189873417721,535,632,0.7533333333333333,0.26636093883799944,0.5562611321942826,ce_cap25_10_seeds,0.1,1.0,0.0
Regional hybrid,0.8449367088607594,534,632,0.75,0.37247574768456265,0.7518064922426516,ce_cap25_10_seeds,0.2,0.0,0.0
Regional hybrid,0.8449367088607594,534,632,0.75,0.3700120994979019,0.7495855541889479,ce_cap25_10_seeds,0.2,0.25,0.0
Regional hybrid,0.8449367088607594,534,632,0.75,0.36792323223417506,0.7477978385290104,ce_cap25_10_seeds,0.2,0.5,0.0
Regional hybrid,0.8449367088607594,534,632,0.75,0.36620914589338205,0.7464190662473363,ce_cap25_10_seeds,0.2,0.75,0.0
Regional hybrid,0.8465189873417721,535,632,0.7533333333333333,0.36486984047552284,0.7454479245923975,ce_cap25_10_seeds,0.2,1.0,0.0
