model,temperature,scotland_nn_weight,other_nn_weight,accuracy,correct
ce_cap25,0.1,1.0,0.0,0.8924050632911392,564
ce_cap25,0.2,1.0,0.0,0.8924050632911392,564
ce_cap10,0.1,0.75,0.0,0.8924050632911392,564
ce_cap25,0.05,1.0,0.0,0.8924050632911392,564
ce_cap10,0.05,0.75,0.0,0.8908227848101266,563
mae_lr01,0.2,0.5,0.0,0.8892405063291139,562
mae_lr01,0.1,0.5,0.0,0.8892405063291139,562
mae_lr01,0.2,0.75,0.0,0.8876582278481012,561
ce_cap25,0.2,0.75,0.0,0.8876582278481012,561
ce_cap10,0.1,1.0,0.0,0.8876582278481012,561
ce_cap10,0.2,1.0,0.0,0.8876582278481012,561
ce_cap10,0.2,0.75,0.0,0.8876582278481012,561
mae_lr01,0.05,1.0,0.0,0.8876582278481012,561
mae_lr01,0.05,0.75,0.0,0.8876582278481012,561
ce_cap10,0.05,1.0,0.0,0.8876582278481012,561
mae_lr01,0.1,1.0,0.0,0.8876582278481012,561
mae_lr01,0.1,0.75,0.0,0.8876582278481012,561
mae_lr01,0.2,1.0,0.0,0.8876582278481012,561
ce_cap10,0.2,0.5,0.0,0.8860759493670886,560
mae_baseline,0.1,0.75,0.0,0.8860759493670886,560
mae_baseline,0.1,0.5,0.0,0.8860759493670886,560
mae_baseline,0.1,1.0,0.0,0.8860759493670886,560
mae_lr01,0.05,0.5,0.0,0.8860759493670886,560
mae_baseline,0.2,1.0,0.0,0.8860759493670886,560
mae_baseline,0.05,0.75,0.0,0.8860759493670886,560
mae_baseline,0.2,0.5,0.0,0.8860759493670886,560
mae_baseline,0.2,0.75,0.0,0.8860759493670886,560
mae_baseline,0.05,1.0,0.0,0.8860759493670886,560
mae_baseline,0.05,0.5,0.0,0.884493670886076,559
ce_cap10,0.05,0.75,0.25,0.8765822784810127,554
ce_cap25,0.1,0.75,0.0,0.8765822784810127,554
mae_lr01,0.2,0.25,0.0,0.875,553
mae_baseline,0.2,0.25,0.0,0.8734177215189873,552
ce_cap10,0.1,0.5,0.0,0.8734177215189873,552
ce_cap10,0.05,1.0,0.25,0.8734177215189873,552
mae_baseline,0.05,1.0,0.25,0.870253164556962,550
mae_baseline,0.05,0.75,0.25,0.870253164556962,550
mae_lr01,0.05,1.0,0.25,0.870253164556962,550
mae_lr01,0.05,0.75,0.25,0.870253164556962,550
mae_baseline,0.05,0.5,0.25,0.8686708860759493,549
mae_lr01,0.05,0.5,0.25,0.8686708860759493,549
ce_cap25,0.05,1.0,0.25,0.8686708860759493,549
ce_cap25,0.2,0.5,0.0,0.865506329113924,547
ce_cap10,0.1,0.75,0.25,0.8623417721518988,545
ce_cap25,0.05,0.75,0.0,0.8623417721518988,545
ce_cap10,0.05,0.5,0.0,0.8591772151898734,543
ce_cap25,0.1,0.5,0.0,0.8591772151898734,543
ce_cap10,0.2,0.25,0.0,0.8591772151898734,543
ce_cap10,0.1,1.0,0.25,0.8575949367088608,542
mae_baseline,0.1,0.25,0.0,0.8544303797468354,540
mae_lr01,0.1,0.25,0.0,0.8544303797468354,540
mae_lr01,0.1,0.5,0.25,0.8544303797468354,540
mae_lr01,0.1,0.75,0.25,0.8528481012658228,539
mae_baseline,0.1,0.5,0.25,0.8528481012658228,539
mae_lr01,0.1,1.0,0.25,0.8528481012658228,539
mae_baseline,0.1,1.0,0.25,0.8528481012658228,539
mae_baseline,0.1,0.75,0.25,0.8528481012658228,539
ce_cap25,0.2,0.25,0.0,0.8512658227848101,538
ce_cap25,0.05,0.5,0.0,0.8496835443037974,537
ce_cap10,0.1,0.25,0.0,0.8496835443037974,537
ce_cap25,0.1,0.25,0.0,0.8481012658227848,536
mae_lr01,0.05,0.25,0.0,0.8465189873417721,535
mae_baseline,0.05,0.25,0.0,0.8465189873417721,535
ce_cap25,0.05,0.25,0.0,0.8465189873417721,535
ce_cap10,0.05,0.25,0.0,0.8465189873417721,535
ce_projected_linear,0.05,0.0,0.0,0.8449367088607594,534
ce_projected_linear,0.2,0.0,0.0,0.8449367088607594,534
mae_baseline,0.05,0.0,0.0,0.8449367088607594,534
ce_baseline,0.2,0.0,0.0,0.8449367088607594,534
ce_cap50,0.1,0.0,0.0,0.8449367088607594,534
ce_baseline,0.05,0.0,0.0,0.8449367088607594,534
ce_cap50,0.2,0.0,0.0,0.8449367088607594,534
mae_baseline,0.2,0.0,0.0,0.8449367088607594,534
mae_baseline,0.1,0.0,0.0,0.8449367088607594,534
ce_baseline,0.1,0.0,0.0,0.8449367088607594,534
ce_projected,0.1,0.0,0.0,0.8449367088607594,534
ce_cap50,0.05,0.0,0.0,0.8449367088607594,534
ce_projected,0.2,0.0,0.0,0.8449367088607594,534
brier_lr01,0.1,0.0,0.0,0.8449367088607594,534
ce_projected,0.05,0.0,0.0,0.8449367088607594,534
ce_cap25,0.2,0.0,0.0,0.8449367088607594,534
brier_lr01,0.05,0.0,0.0,0.8449367088607594,534
mae_lr01,0.2,0.0,0.0,0.8449367088607594,534
ce_cap25,0.1,0.0,0.0,0.8449367088607594,534
ce_cap10,0.05,0.5,0.25,0.8449367088607594,534
ce_cap25,0.05,0.0,0.0,0.8449367088607594,534
ce_cap10,0.05,0.0,0.0,0.8449367088607594,534
ce_cap10,0.2,0.0,0.0,0.8449367088607594,534
mae_lr01,0.1,0.0,0.0,0.8449367088607594,534
mae_lr01,0.05,0.0,0.0,0.8449367088607594,534
brier_lr01,0.2,0.0,0.0,0.8449367088607594,534
ce_cap10,0.1,0.0,0.0,0.8449367088607594,534
ce_projected_linear,0.1,0.0,0.0,0.8449367088607594,534
ce_cap10,0.1,0.5,0.25,0.8433544303797469,533
ce_projected_linear,0.05,0.25,0.0,0.8433544303797469,533
ce_projected,0.05,0.25,0.0,0.8417721518987342,532
ce_cap50,0.05,0.25,0.0,0.8417721518987342,532
ce_cap50,0.1,0.25,0.0,0.8417721518987342,532
ce_projected_linear,0.1,0.25,0.0,0.8417721518987342,532
ce_projected_linear,0.05,0.5,0.0,0.8417721518987342,532
ce_projected_linear,0.1,0.5,0.0,0.8417721518987342,532
ce_projected_linear,0.2,0.25,0.0,0.8417721518987342,532
ce_projected_linear,0.2,0.5,0.0,0.8401898734177216,531
ce_baseline,0.1,0.25,0.0,0.8401898734177216,531
ce_cap50,0.2,0.25,0.0,0.8401898734177216,531
ce_projected_linear,0.1,0.75,0.0,0.8401898734177216,531
brier_lr01,0.1,0.25,0.0,0.8401898734177216,531
ce_cap50,0.1,0.5,0.0,0.8401898734177216,531
ce_baseline,0.05,0.25,0.0,0.8401898734177216,531
ce_projected,0.2,0.25,0.0,0.8401898734177216,531
ce_projected,0.05,0.5,0.0,0.8401898734177216,531
brier_lr01,0.05,0.25,0.0,0.8401898734177216,531
ce_cap50,0.05,0.5,0.0,0.8401898734177216,531
ce_projected_linear,0.05,0.75,0.0,0.8401898734177216,531
ce_projected,0.1,0.25,0.0,0.8401898734177216,531
ce_cap25,0.1,1.0,0.25,0.8401898734177216,531
ce_cap50,0.05,0.75,0.0,0.8386075949367089,530
ce_cap50,0.1,0.75,0.0,0.8386075949367089,530
ce_cap25,0.05,0.75,0.25,0.8386075949367089,530
ce_cap50,0.2,0.5,0.0,0.8386075949367089,530
ce_projected_linear,0.2,0.75,0.0,0.8386075949367089,530
ce_projected,0.1,0.5,0.0,0.8386075949367089,530
ce_projected_linear,0.05,1.0,0.0,0.8386075949367089,530
ce_projected_linear,0.2,1.0,0.0,0.8386075949367089,530
ce_projected_linear,0.1,1.0,0.0,0.8386075949367089,530
ce_baseline,0.05,0.5,0.0,0.8370253164556962,529
ce_cap50,0.05,1.0,0.0,0.8370253164556962,529
ce_cap50,0.1,1.0,0.0,0.8370253164556962,529
ce_projected,0.1,0.75,0.0,0.8370253164556962,529
brier_lr01,0.05,0.5,0.0,0.8370253164556962,529
ce_projected,0.1,1.0,0.0,0.8370253164556962,529
ce_projected,0.05,0.75,0.0,0.8370253164556962,529
ce_projected,0.05,1.0,0.0,0.8370253164556962,529
ce_projected,0.2,1.0,0.0,0.8370253164556962,529
ce_projected,0.2,0.5,0.0,0.8370253164556962,529
ce_projected,0.2,0.75,0.0,0.8370253164556962,529
brier_lr01,0.2,0.5,0.0,0.8370253164556962,529
brier_lr01,0.1,0.5,0.0,0.8370253164556962,529
brier_lr01,0.2,0.25,0.0,0.8370253164556962,529
ce_cap50,0.2,1.0,0.0,0.8370253164556962,529
ce_cap50,0.2,0.75,0.0,0.8370253164556962,529
ce_baseline,0.2,0.25,0.0,0.8370253164556962,529
ce_baseline,0.05,1.0,0.0,0.8354430379746836,528
ce_baseline,0.1,0.5,0.0,0.8354430379746836,528
ce_baseline,0.1,0.75,0.0,0.8354430379746836,528
ce_baseline,0.1,1.0,0.0,0.8354430379746836,528
ce_baseline,0.2,0.5,0.0,0.8354430379746836,528
ce_baseline,0.2,0.75,0.0,0.8354430379746836,528
ce_baseline,0.2,1.0,0.0,0.8354430379746836,528
ce_baseline,0.05,0.75,0.0,0.8354430379746836,528
brier_lr01,0.1,1.0,0.0,0.8354430379746836,528
brier_lr01,0.2,0.75,0.0,0.8354430379746836,528
brier_lr01,0.1,0.75,0.0,0.8354430379746836,528
brier_lr01,0.2,1.0,0.0,0.8354430379746836,528
brier_lr01,0.05,0.75,0.0,0.8354430379746836,528
brier_lr01,0.05,1.0,0.0,0.8354430379746836,528
ce_cap10,0.05,0.25,0.25,0.8322784810126582,526
ce_cap10,0.05,0.0,0.25,0.8306962025316456,525
mae_baseline,0.05,0.25,0.25,0.8306962025316456,525
mae_lr01,0.05,0.25,0.25,0.8291139240506329,524
mae_baseline,0.05,0.0,0.25,0.8291139240506329,524
mae_lr01,0.05,0.0,0.25,0.8275316455696202,523
ce_cap25,0.05,0.5,0.25,0.8259493670886076,522
ce_projected_linear,0.05,0.0,0.25,0.8243670886075949,521
ce_cap25,0.1,0.75,0.25,0.8243670886075949,521
ce_cap25,0.05,0.25,0.25,0.8227848101265823,520
ce_projected,0.05,0.0,0.25,0.8227848101265823,520
ce_cap50,0.05,0.0,0.25,0.8227848101265823,520
ce_projected_linear,0.05,0.25,0.25,0.8227848101265823,520
ce_cap25,0.05,0.0,0.25,0.8212025316455697,519
ce_projected_linear,0.05,0.5,0.25,0.8212025316455697,519
ce_projected_linear,0.1,0.0,0.25,0.8212025316455697,519
mae_baseline,0.1,0.25,0.25,0.8212025316455697,519
ce_projected_linear,0.05,0.75,0.25,0.819620253164557,518
mae_lr01,0.1,0.25,0.25,0.819620253164557,518
ce_cap10,0.1,0.25,0.25,0.819620253164557,518
ce_projected,0.05,0.25,0.25,0.819620253164557,518
ce_cap50,0.05,0.25,0.25,0.819620253164557,518
ce_baseline,0.05,0.0,0.25,0.819620253164557,518
ce_cap50,0.05,0.5,0.25,0.8180379746835443,517
ce_projected,0.05,0.5,0.25,0.8180379746835443,517
ce_projected_linear,0.1,0.25,0.25,0.8180379746835443,517
ce_projected_linear,0.1,0.5,0.25,0.8180379746835443,517
ce_projected_linear,0.05,1.0,0.25,0.8180379746835443,517
ce_projected_linear,0.1,0.75,0.25,0.8164556962025317,516
ce_cap50,0.05,0.75,0.25,0.8164556962025317,516
ce_cap50,0.05,1.0,0.25,0.814873417721519,515
ce_projected,0.05,1.0,0.25,0.814873417721519,515
mae_baseline,0.2,1.0,0.25,0.814873417721519,515
mae_baseline,0.2,0.75,0.25,0.814873417721519,515
ce_projected,0.05,0.75,0.25,0.814873417721519,515
ce_projected_linear,0.1,1.0,0.25,0.814873417721519,515
ce_baseline,0.05,0.25,0.25,0.814873417721519,515
mae_baseline,0.2,0.5,0.25,0.814873417721519,515
ce_cap10,0.1,0.0,0.25,0.814873417721519,515
brier_lr01,0.05,0.0,0.25,0.8132911392405063,514
ce_baseline,0.05,0.5,0.25,0.8117088607594937,513
mae_baseline,0.1,0.0,0.25,0.8117088607594937,513
ce_baseline,0.05,0.75,0.25,0.810126582278481,512
ce_baseline,0.05,1.0,0.25,0.810126582278481,512
mae_lr01,0.1,0.0,0.25,0.810126582278481,512
ce_projected,0.1,0.0,0.25,0.8085443037974683,511
brier_lr01,0.05,0.25,0.25,0.8085443037974683,511
ce_cap25,0.1,0.5,0.25,0.8069620253164557,510
mae_lr01,0.2,0.5,0.25,0.805379746835443,509
brier_lr01,0.05,0.5,0.25,0.805379746835443,509
brier_lr01,0.05,1.0,0.25,0.8037974683544303,508
mae_lr01,0.2,0.75,0.25,0.8037974683544303,508
mae_lr01,0.2,1.0,0.25,0.8037974683544303,508
brier_lr01,0.05,0.75,0.25,0.8037974683544303,508
ce_projected,0.1,0.25,0.25,0.8037974683544303,508
ce_cap10,0.2,0.75,0.25,0.8022151898734177,507
ce_projected,0.1,0.5,0.25,0.8022151898734177,507
mae_baseline,0.2,0.25,0.25,0.8022151898734177,507
ce_cap10,0.2,1.0,0.25,0.8022151898734177,507
ce_projected,0.1,0.75,0.25,0.8006329113924051,506
ce_projected,0.1,1.0,0.25,0.8006329113924051,506
ce_cap10,0.2,0.5,0.25,0.8006329113924051,506
ce_cap25,0.1,0.25,0.25,0.7958860759493671,503
ce_cap25,0.2,1.0,0.25,0.7943037974683544,502
ce_cap25,0.1,0.0,0.25,0.7927215189873418,501
mae_lr01,0.2,0.25,0.25,0.7911392405063291,500
ce_cap25,0.2,0.75,0.25,0.7895569620253164,499
ce_projected_linear,0.2,0.0,0.25,0.7895569620253164,499
ce_projected_linear,0.2,0.25,0.25,0.7863924050632911,497
