name,loss,lr,accuracy,correct,changed_accuracy,complete_accuracy,log_loss,mean_best_epoch,mean_validation_accuracy,seconds,seeds,features,max_epochs,hidden,min_delta
mae_strict,mae,0.01,0.7674050632911392,485,0.6033333333333334,0.7713365539452496,1.6824989318847656,474.3333333333333,0.8438818565400844,258.4,3,,500.0,,0.0
mae_baseline,mae,0.01,0.7658227848101266,484,0.6066666666666667,0.7697262479871175,1.3631541728973389,194.33333333333334,0.839662447257384,123.0,3,,,,
mae_lr01,mae,0.1,0.759493670886076,480,0.5866666666666667,0.7648953301127214,1.7786784172058105,60.0,0.8417721518987342,71.3,3,,,,
ce_cap25,ce,0.01,0.7389240506329114,467,0.5066666666666667,0.7455716586151369,0.741878867149353,24.666666666666668,0.8364978902953587,14.9,3,,25.0,,
ce_cap10,ce,0.01,0.7310126582278481,462,0.5133333333333333,0.7375201288244766,0.7536323070526123,10.0,0.8217299578059071,18.0,3,,10.0,,
ce_both_projections,ce,0.01,0.7215189873417721,456,0.45666666666666667,0.7278582930756844,0.825812816619873,76.33333333333333,0.9135021097046413,79.2,3,both_projections,500.0,,
ce_corrected,ce,0.01,0.7056962025316456,446,0.42333333333333334,0.711755233494364,0.9550994634628296,275.6666666666667,0.9345991561181434,206.3,3,corrected,,,
ce_projected_linear,ce,0.03,0.694620253164557,439,0.6233333333333333,0.6972624798711755,0.7122028470039368,14.666666666666666,0.8428270042194091,45.1,3,projected,500.0,[],
ce_engineered,ce,0.01,0.6930379746835443,438,0.4033333333333333,0.6988727858293076,1.0330545902252197,358.3333333333333,0.9483122362869199,178.2,3,engineered,,,
ce_projected,ce,0.01,0.6835443037974683,432,0.6,0.6876006441223832,0.8947800993919373,79.33333333333333,0.880801687763713,67.9,3,projected,,,
ce_cap50,ce,0.01,0.6772151898734177,428,0.36,0.6827697262479872,0.880500316619873,49.333333333333336,0.9156118143459916,33.0,3,,50.0,,
ce_baseline,ce,0.01,0.6424050632911392,406,0.29,0.6457326892109501,1.6144391298294067,365.0,0.9472573839662447,214.5,3,,,,
ce_no_categories,ce,0.01,0.620253164556962,392,0.24333333333333335,0.6231884057971014,1.9489854574203491,222.0,0.9377637130801687,167.8,3,no_categories,,,
brier_lr01,brier,0.1,0.615506329113924,389,0.23,0.6199677938808373,1.9362986087799072,126.33333333333333,0.9535864978902954,113.1,3,,,,
