model,seed,best_epoch,stopping_epoch,validation_loss,validation_accuracy,test_accuracy
ce_baseline,10011223,298,348,0.15668663382530212,0.9525316455696202,0.5996835443037974
ce_baseline,10011224,346,396,0.12908203899860382,0.9588607594936709,0.6455696202531646
ce_baseline,10011225,451,501,0.16686463356018066,0.930379746835443,0.6708860759493671
mae_baseline,10011223,204,254,0.06991434842348099,0.8259493670886076,0.75
mae_baseline,10011224,146,196,0.05660749599337578,0.8607594936708861,0.7705696202531646
mae_baseline,10011225,233,283,0.06840049475431442,0.8322784810126582,0.7579113924050633
mae_lr01,10011223,54,104,0.06653957068920135,0.8291139240506329,0.7563291139240507
mae_lr01,10011224,66,116,0.05430058017373085,0.8639240506329114,0.7721518987341772
mae_lr01,10011225,60,110,0.06614121794700623,0.8322784810126582,0.7436708860759493
brier_lr01,10011223,50,100,0.0889337807893753,0.9430379746835443,0.564873417721519
brier_lr01,10011224,115,165,0.0627308338880539,0.9651898734177216,0.6044303797468354
brier_lr01,10011225,214,264,0.07825632393360138,0.9525316455696202,0.6756329113924051
ce_projected,10011223,54,104,0.318052738904953,0.8829113924050633,0.7025316455696202
ce_projected,10011224,90,140,0.2753021717071533,0.9082278481012658,0.6819620253164557
ce_projected,10011225,94,144,0.31469064950942993,0.8512658227848101,0.6756329113924051
ce_corrected,10011223,225,275,0.18717294931411743,0.9272151898734177,0.7088607594936709
ce_corrected,10011224,406,456,0.13004866242408752,0.9493670886075949,0.7041139240506329
ce_corrected,10011225,196,246,0.189286470413208,0.9272151898734177,0.7104430379746836
ce_no_categories,10011223,309,359,0.16249695420265198,0.9335443037974683,0.555379746835443
ce_no_categories,10011224,161,211,0.15415410697460175,0.9493670886075949,0.6550632911392406
ce_no_categories,10011225,196,246,0.17922185361385345,0.930379746835443,0.6107594936708861
ce_engineered,10011223,593,643,0.1241459995508194,0.9462025316455697,0.5110759493670886
ce_engineered,10011224,166,216,0.1418902426958084,0.9525316455696202,0.7753164556962026
ce_engineered,10011225,316,366,0.14434385299682617,0.9462025316455697,0.7215189873417721
ce_cap10,10011223,10,10,0.44692906737327576,0.7974683544303798,0.7009493670886076
ce_cap10,10011224,10,10,0.38821062445640564,0.8607594936708861,0.7816455696202531
ce_cap10,10011225,10,10,0.5268609523773193,0.8069620253164557,0.7088607594936709
ce_cap25,10011223,24,25,0.3207060396671295,0.8259493670886076,0.7056962025316456
ce_cap25,10011224,25,25,0.2841707468032837,0.8639240506329114,0.7832278481012658
ce_cap25,10011225,25,25,0.38936319947242737,0.819620253164557,0.7294303797468354
ce_cap50,10011223,50,50,0.22093191742897034,0.9050632911392406,0.6471518987341772
ce_cap50,10011224,50,50,0.16291996836662292,0.9430379746835443,0.7262658227848101
ce_cap50,10011225,48,50,0.24814710021018982,0.8987341772151899,0.6724683544303798
ce_projected_linear,10011223,13,63,0.3977585434913635,0.8291139240506329,0.685126582278481
ce_projected_linear,10011224,14,64,0.3335098624229431,0.8734177215189873,0.6993670886075949
ce_projected_linear,10011225,17,67,0.4084392488002777,0.8259493670886076,0.7072784810126582
ce_both_projections,10011223,54,104,0.24335846304893494,0.9082278481012658,0.7246835443037974
ce_both_projections,10011224,137,187,0.1489700973033905,0.9430379746835443,0.7104430379746836
ce_both_projections,10011225,38,88,0.2758198380470276,0.8892405063291139,0.7294303797468354
mae_strict,10011223,497,500,0.06723665446043015,0.8354430379746836,0.759493670886076
mae_strict,10011224,498,500,0.05442901700735092,0.8639240506329114,0.7737341772151899
mae_strict,10011225,428,478,0.06688498705625534,0.8322784810126582,0.7531645569620253
