train_through,evaluation_year,baseline,accuracy,changed_seat_accuracy,rows
1987,1997,previous_winner,0.608424336973479,0.0,641
1987,1997,training_majority,0.2589703588143526,0.0,641
1992,2001,previous_winner,0.9625585023400937,0.0,641
1992,2001,training_majority,0.2589703588143526,0.375,641
1997,2005,previous_winner,0.9092356687898089,0.0,628
1997,2005,training_majority,0.5652866242038217,0.017543859649122806,628
2001,2010,previous_winner,0.8227848101265823,0.0,632
2001,2010,training_majority,0.40822784810126583,0.017857142857142856,632
2005,2015,previous_winner,0.8275316455696202,0.0,632
2005,2015,training_majority,0.36550632911392406,0.2018348623853211,632
2010,2017,previous_winner,0.8939873417721519,0.0,632
2010,2017,training_majority,0.4129746835443038,0.5373134328358209,632
2015,2019,previous_winner,0.879746835443038,0.0,632
2015,2019,training_majority,0.31962025316455694,0.013157894736842105,632
2017,2024,previous_winner,0.5237341772151899,0.0,632
2017,2024,training_majority,0.6503164556962026,0.7266666666666667,632
