election,architecture,policy,rate,accuracy,changed_accuracy,known_accuracy,baseline_known,known_gain_pp,correct_changes,false_changes,missing_history,log_loss,overall_changed_score
1997,16,selected,1.0,68.64274570982839,5.625,71.81818181818181,70.9090909090909,0.9090909090909038,9,4,91,1.1393280937070331,37.133872854914195
1997,16,fixed_0.3,0.3,68.48673946957878,5.0,71.63636363636363,70.9090909090909,0.7272727272727209,8,4,91,1.3381504412076834,36.7433697347894
1997,32,selected,1.0,68.95475819032761,6.25,72.18181818181819,70.9090909090909,1.2727272727272698,10,3,91,1.1738592768390121,37.602379095163805
1997,32,fixed_0.3,0.3,68.48673946957878,5.0,71.63636363636363,70.9090909090909,0.7272727272727209,8,4,91,1.2716367270627655,36.7433697347894
1997,32_16,selected,1.0,67.86271450858035,5.0,70.9090909090909,70.9090909090909,0.0,8,8,91,1.2123777262416313,36.43135725429018
1997,32_16,fixed_0.3,0.3,67.86271450858035,5.0,70.9090909090909,70.9090909090909,0.0,8,8,91,1.3364291674383095,36.43135725429018
1997,64_32,selected,1.0,68.48673946957878,5.625,71.63636363636363,70.9090909090909,0.7272727272727209,9,5,91,1.1723628986982888,37.05586973478939
1997,64_32,fixed_0.3,0.3,68.17472698907956,5.0,71.27272727272728,70.9090909090909,0.363636363636366,8,6,91,1.3493111571583505,36.58736349453978
2001,16,selected,1.0,94.07176287051482,12.5,94.07176287051482,96.25585023400937,-2.184087363494547,3,17,0,0.2071148365592762,53.28588143525741
2001,16,fixed_0.3,0.3,94.53978159126365,16.666666666666664,94.53978159126365,96.25585023400937,-1.7160686427457161,4,15,0,0.2055607710416642,55.60322412896516
2001,32,selected,1.0,94.22776911076443,12.5,94.22776911076443,96.25585023400937,-2.0280811232449403,3,16,0,0.20622704533586733,53.363884555382214
2001,32,fixed_0.3,0.3,94.53978159126365,16.666666666666664,94.53978159126365,96.25585023400937,-1.7160686427457161,4,15,0,0.2255973652080616,55.60322412896516
2001,32_16,selected,1.0,94.38377535101404,16.666666666666664,94.38377535101404,96.25585023400937,-1.8720748829953227,4,16,0,0.22855902313276963,55.525221008840354
2001,32_16,fixed_0.3,0.3,92.04368174726989,20.833333333333336,92.04368174726989,96.25585023400937,-4.2121684867394755,5,32,0,0.23832950908373107,56.43850754030161
2001,64_32,selected,1.0,94.53978159126365,4.166666666666666,94.53978159126365,96.25585023400937,-1.7160686427457161,1,12,0,0.19807703044777356,49.35322412896516
2001,64_32,fixed_0.3,0.3,92.1996879875195,20.833333333333336,92.1996879875195,96.25585023400937,-4.056162246489869,5,31,0,0.24698474740127976,56.51651066042641
2005,16,selected,0.2,80.57324840764332,61.40350877192983,80.57324840764332,90.92356687898089,-10.350318471337571,35,100,0,0.4328457538584594,70.98837858978658
2005,16,fixed_0.3,0.3,80.2547770700637,63.1578947368421,80.2547770700637,90.92356687898089,-10.66878980891719,36,103,0,0.44356647416341755,71.7063359034529
2005,32,selected,0.5,80.57324840764332,61.40350877192983,80.57324840764332,90.92356687898089,-10.350318471337571,35,100,0,0.42118601413656903,70.98837858978658
2005,32,fixed_0.3,0.3,78.82165605095541,63.1578947368421,78.82165605095541,90.92356687898089,-12.101910828025474,36,112,0,0.47440532417426345,70.98977539389875
2005,32_16,selected,0.2,78.82165605095541,61.40350877192983,78.82165605095541,90.92356687898089,-12.101910828025474,35,111,0,0.4708750801054929,70.11258241144263
2005,32_16,fixed_0.3,0.3,79.77707006369427,61.40350877192983,79.77707006369427,90.92356687898089,-11.146496815286621,35,105,0,0.45160928534637357,70.59028941781204
2005,64_32,selected,0.2,79.14012738853503,63.1578947368421,79.14012738853503,90.92356687898089,-11.783439490445858,36,110,0,0.45973636712232324,71.14901106268856
2005,64_32,fixed_0.3,0.3,79.45859872611464,63.1578947368421,79.45859872611464,90.92356687898089,-11.46496815286624,36,108,0,0.4439969605907372,71.30824673147838
2010,16,selected,1.0,85.60126582278481,83.03571428571429,85.60126582278481,82.27848101265823,3.322784810126578,93,72,0,0.35344986171136866,84.31849005424955
2010,16,fixed_0.3,0.3,83.70253164556962,87.5,83.70253164556962,82.27848101265823,1.424050632911389,98,89,0,0.40329053998775516,85.60126582278481
2010,32,selected,1.0,84.81012658227847,86.60714285714286,84.81012658227847,82.27848101265823,2.5316455696202445,97,81,0,0.361105778982026,85.70863471971066
2010,32,fixed_0.3,0.3,83.38607594936708,87.5,83.38607594936708,82.27848101265823,1.1075949367088556,98,91,0,0.40286969373392706,85.44303797468355
2010,32_16,selected,1.0,87.34177215189874,84.82142857142857,87.34177215189874,82.27848101265823,5.0632911392405,95,63,0,0.35282106373479,86.08160036166366
2010,32_16,fixed_0.3,0.3,84.49367088607595,86.60714285714286,84.49367088607595,82.27848101265823,2.215189873417711,97,83,0,0.3916791493016202,85.5504068716094
2010,64_32,selected,1.0,89.24050632911393,83.03571428571429,89.24050632911393,82.27848101265823,6.962025316455689,93,49,0,0.3051705595202954,86.13811030741411
2010,64_32,fixed_0.3,0.3,85.75949367088607,86.60714285714286,85.75949367088607,82.27848101265823,3.4810126582278444,97,75,0,0.36009923116025827,86.18331826401446
