election,architecture,policy,party,actual,predicted
1997,16,selected,con,166,363
1997,16,selected,lab,418,268
1997,16,selected,lib,45,6
1997,16,selected,natSW,10,4
1997,16,selected,oth,2,0
1997,16,fixed_0.3,con,166,365
1997,16,fixed_0.3,lab,418,265
1997,16,fixed_0.3,lib,45,6
1997,16,fixed_0.3,natSW,10,5
1997,16,fixed_0.3,oth,2,0
1997,32,selected,con,166,362
1997,32,selected,lab,418,266
1997,32,selected,lib,45,6
1997,32,selected,natSW,10,7
1997,32,selected,oth,2,0
1997,32,fixed_0.3,con,166,365
1997,32,fixed_0.3,lab,418,265
1997,32,fixed_0.3,lib,45,6
1997,32,fixed_0.3,natSW,10,5
1997,32,fixed_0.3,oth,2,0
1997,32_16,selected,con,166,364
1997,32_16,selected,lab,418,271
1997,32_16,selected,lib,45,6
1997,32_16,selected,natSW,10,0
1997,32_16,selected,oth,2,0
1997,32_16,fixed_0.3,con,166,365
1997,32_16,fixed_0.3,lab,418,270
1997,32_16,fixed_0.3,lib,45,5
1997,32_16,fixed_0.3,natSW,10,1
1997,32_16,fixed_0.3,oth,2,0
1997,64_32,selected,con,166,363
1997,64_32,selected,lab,418,269
1997,64_32,selected,lib,45,6
1997,64_32,selected,natSW,10,3
1997,64_32,selected,oth,2,0
1997,64_32,fixed_0.3,con,166,364
1997,64_32,fixed_0.3,lab,418,269
1997,64_32,fixed_0.3,lib,45,6
1997,64_32,fixed_0.3,natSW,10,2
1997,64_32,fixed_0.3,oth,2,0
2001,16,selected,con,166,187
2001,16,selected,lab,412,418
2001,16,selected,lib,52,26
2001,16,selected,natSW,9,10
2001,16,selected,oth,2,0
2001,16,fixed_0.3,con,166,185
2001,16,fixed_0.3,lab,412,419
2001,16,fixed_0.3,lib,52,28
2001,16,fixed_0.3,natSW,9,9
2001,16,fixed_0.3,oth,2,0
2001,32,selected,con,166,186
2001,32,selected,lab,412,418
2001,32,selected,lib,52,27
2001,32,selected,natSW,9,10
2001,32,selected,oth,2,0
2001,32,fixed_0.3,con,166,185
2001,32,fixed_0.3,lab,412,419
2001,32,fixed_0.3,lib,52,28
2001,32,fixed_0.3,natSW,9,9
2001,32,fixed_0.3,oth,2,0
2001,32_16,selected,con,166,186
2001,32_16,selected,lab,412,419
2001,32_16,selected,lib,52,28
2001,32_16,selected,natSW,9,8
2001,32_16,selected,oth,2,0
2001,32_16,fixed_0.3,con,166,202
2001,32_16,fixed_0.3,lab,412,420
2001,32_16,fixed_0.3,lib,52,17
2001,32_16,fixed_0.3,natSW,9,2
2001,32_16,fixed_0.3,oth,2,0
2001,64_32,selected,con,166,178
2001,64_32,selected,lab,412,419
2001,64_32,selected,lib,52,34
2001,64_32,selected,natSW,9,10
2001,64_32,selected,oth,2,0
2001,64_32,fixed_0.3,con,166,202
2001,64_32,fixed_0.3,lab,412,419
2001,64_32,fixed_0.3,lib,52,15
2001,64_32,fixed_0.3,natSW,9,5
2001,64_32,fixed_0.3,oth,2,0
2005,16,selected,con,198,301
2005,16,selected,lab,355,279
2005,16,selected,lib,62,38
2005,16,selected,natSW,9,10
2005,16,selected,oth,4,0
