architecture,patience,policy,mean_accuracy,worst_accuracy,mean_changed_accuracy,mean_log_loss,mean_brier,mean_validation_log_loss
32_16,20,fixed_1,0.837677040500954,0.7879746835443038,0.43343258758517084,0.5316469472777564,0.23801181321414414,0.26731610834752845
16,10,fixed_0.5,0.8371596925475019,0.7832278481012658,0.4141584848972584,0.47774431412838,0.23610460211577797,0.2759660562644401
16,10,fixed_0.03,0.8367532048697895,0.7610759493670886,0.3045093620902409,0.4845800665418472,0.24107775050254002,0.25194917211267237
32_16,10,fixed_1,0.836622188180279,0.7879746835443038,0.4202746928483288,0.531288446063453,0.23768681216224405,0.2683618467409485
16,10,fixed_0.01,0.8356815555376388,0.7626582278481012,0.3045093620902409,0.485076201389624,0.2424015924282469,0.25232547114634457
32_16,50,fixed_1,0.8355673358596039,0.7879746835443038,0.42758463436879657,0.5338212921541637,0.2396225342711822,0.27066657335126654
16,10,fixed_0.05,0.8340757612405602,0.7674050632911392,0.3045093620902409,0.4865434557412285,0.2446149932066971,0.24831521947188814
32_16,20,fixed_0.5,0.8339783385740009,0.7895569620253164,0.3790707655990128,0.49688597168842596,0.24178279846157036,0.26040578554027705
16,10,fixed_0.1,0.832463248138891,0.7674050632911392,0.3293631632598315,0.4838970206262843,0.24318921483499625,0.24753334805945246
16,50,fixed_0.5,0.8318854309441264,0.7737341772151899,0.3966146252481357,0.48455695310827857,0.2391919276991904,0.26395700283673
32_16,10,fixed_0.5,0.8318686339326508,0.7863924050632911,0.3672407317989162,0.4997478513112694,0.24503001623792528,0.26090322291451473
32_16,50,fixed_0.5,0.83185519632347,0.7895569620253164,0.3790707655990128,0.49812657109691866,0.2427803436989112,0.25994586678864867
16,20,fixed_0.5,0.8313580047837889,0.7737341772151899,0.39222866033585496,0.4849473407472273,0.23887827711546603,0.26582397625571774
16,10,fixed_0.2,0.8308507350372222,0.7705696202531646,0.3483690112130479,0.4995083047937312,0.2485807400679461,0.24447831460529643
16,20,fixed_0.3,0.8297522104867102,0.7753164556962026,0.40419282150329955,0.4981708049069764,0.24753217486333393,0.25856030142090086
16,50,fixed_0.3,0.8297522104867102,0.7753164556962026,0.40419282150329955,0.4981708049069764,0.24753217486333393,0.25856030142090086
16,10,fixed_1,0.8292483001424387,0.7721518987341772,0.3675089865336123,0.502724807972785,0.24637848109444246,0.26874677599120017
32_16,10,validation_compact,0.8292147061194872,0.7879746835443038,0.3746848006867321,0.4934317578620025,0.24603746099784365,0.254554525225752
32_16,10,fixed_0.3,0.8292147061194872,0.7879746835443038,0.3746848006867321,0.4934317578620025,0.24603746099784365,0.254554525225752
32_16,20,validation_compact,0.8292147061194872,0.7879746835443038,0.3659128708621708,0.4950109274039634,0.24739690640573075,0.252444581875563
32_16,20,fixed_0.3,0.8292147061194872,0.7879746835443038,0.3659128708621708,0.4950109274039634,0.24739690640573075,0.252444581875563
32_16,50,fixed_0.3,0.8292147061194872,0.7879746835443038,0.3659128708621708,0.4950109274039634,0.24739690640573075,0.252444581875563
16,10,fixed_0.3,0.8281699320056976,0.7705696202531646,0.3980766135522292,0.4926146713904777,0.24755921468805575,0.2585864388021866
16,20,fixed_1,0.8265943723292751,0.7721518987341772,0.35873705670905087,0.5153674613402321,0.2546575392212586,0.26661713759502365
16,50,fixed_1,0.8265943723292751,0.7721518987341772,0.35873705670905087,0.5153674613402321,0.2546575392212586,0.26661713759502365
32_16,20,validation_all_rates,0.826029992743691,0.7879746835443038,0.3659128708621708,0.5014328589903365,0.2517377797216428,0.2523115000797092
32_16,20,validation_midrange,0.826029992743691,0.7879746835443038,0.3659128708621708,0.5014328589903365,0.2517377797216428,0.2523115000797092
32_16,50,validation_all_rates,0.826029992743691,0.7879746835443038,0.3659128708621708,0.5014328589903365,0.2517377797216428,0.2523115000797092
32_16,50,validation_midrange,0.826029992743691,0.7879746835443038,0.3659128708621708,0.5014328589903365,0.2517377797216428,0.2523115000797092
32_16,50,validation_compact,0.826029992743691,0.7879746835443038,0.371760824078545,0.5071233691806608,0.2550101386831592,0.2524431687687017
16,50,fixed_0.2,0.8255395200086001,0.7721518987341772,0.3483690112130479,0.5049057654135759,0.25148480372797927,0.24420521127105774
16,20,fixed_0.2,0.8255395200086001,0.7721518987341772,0.3483690112130479,0.5055102592253321,0.25262927109961625,0.24443338200665066
32_16,10,validation_all_rates,0.8255025665833534,0.7863924050632911,0.37162669671119697,0.5098064285564735,0.25151088561640694,0.2543442938766633
32_16,10,validation_midrange,0.8255025665833534,0.7863924050632911,0.37162669671119697,0.5098064285564735,0.25151088561640694,0.2543442938766633
32_16,selected,validation_rate_and_patience,0.8255025665833534,0.7863924050632911,0.36285476688663554,0.5113855980984343,0.25287033102429396,0.25223435052647436
16,50,fixed_0.1,0.8244880270902201,0.7737341772151899,0.33826922045174096,0.5054167019032468,0.25294899628482914,0.24407524565391805
