patience,best_epoch,stopping_epoch,best_validation_loss,hit_epoch_cap,parameters,elapsed_seconds,stage,train_through,validation_year,architecture,learning_rate,seed,validation_accuracy,validation_changed_seat_accuracy,validation_changed_seats,validation_log_loss,validation_brier_score,validation_rows,validation_unseen_winners
10,23,33,0.3857954740524292,False,1605,2.071606814000006,confirmation,2015,2017,32_16,0.01,101223,0.8449367088607594,0.22388059701492538,67,0.38579545639046287,0.1966581547236889,632,0
20,23,43,0.3857954740524292,False,1605,2.717773078999926,confirmation,2015,2017,32_16,0.01,101223,0.8449367088607594,0.22388059701492538,67,0.38579545639046287,0.1966581547236889,632,0
50,23,73,0.3857954740524292,False,1605,4.779594708999866,confirmation,2015,2017,32_16,0.01,101223,0.8449367088607594,0.22388059701492538,67,0.38579545639046287,0.1966581547236889,632,0
10,19,29,0.3250858783721924,False,1605,1.9115256330001102,confirmation,2015,2017,32_16,0.01,101224,0.8860759493670886,0.14925373134328357,67,0.32508584991310796,0.17051851868357698,632,0
20,19,39,0.3250858783721924,False,1605,2.5637841889997617,confirmation,2015,2017,32_16,0.01,101224,0.8860759493670886,0.14925373134328357,67,0.32508584991310796,0.17051851868357698,632,0
50,19,69,0.3250858783721924,False,1605,4.589620088999709,confirmation,2015,2017,32_16,0.01,101224,0.8860759493670886,0.14925373134328357,67,0.32508584991310796,0.17051851868357698,632,0
10,22,32,0.3326646089553833,False,1605,2.025758547999885,confirmation,2015,2017,32_16,0.01,101225,0.8955696202531646,0.13432835820895522,67,0.332664597376183,0.17184010054919066,632,0
20,22,42,0.3326646089553833,False,1605,2.647682237999561,confirmation,2015,2017,32_16,0.01,101225,0.8955696202531646,0.13432835820895522,67,0.332664597376183,0.17184010054919066,632,0
50,22,72,0.3326646089553833,False,1605,4.69290368799966,confirmation,2015,2017,32_16,0.01,101225,0.8955696202531646,0.13432835820895522,67,0.332664597376183,0.17184010054919066,632,0
10,24,34,0.40202245116233826,False,1605,3.5662783979996675,confirmation,2015,2017,32_16,0.01,101226,0.8623417721518988,0.31343283582089554,67,0.40202244179173446,0.2016544480325628,632,0
20,24,44,0.40202245116233826,False,1605,4.810732795999684,confirmation,2015,2017,32_16,0.01,101226,0.8623417721518988,0.31343283582089554,67,0.40202244179173446,0.2016544480325628,632,0
50,24,74,0.40202245116233826,False,1605,7.966463329999897,confirmation,2015,2017,32_16,0.01,101226,0.8623417721518988,0.31343283582089554,67,0.40202244179173446,0.2016544480325628,632,0
10,21,31,0.3567357361316681,False,1605,3.4604931950002538,confirmation,2015,2017,32_16,0.01,101227,0.8575949367088608,0.26865671641791045,67,0.35673573492968724,0.18654677579908008,632,0
20,21,41,0.3567357361316681,False,1605,4.5849042879999615,confirmation,2015,2017,32_16,0.01,101227,0.8575949367088608,0.26865671641791045,67,0.35673573492968724,0.18654677579908008,632,0
50,21,71,0.3567357361316681,False,1605,7.967394710000008,confirmation,2015,2017,32_16,0.01,101227,0.8575949367088608,0.26865671641791045,67,0.35673573492968724,0.18654677579908008,632,0
10,17,27,0.366087406873703,False,1605,3.32498935600006,confirmation,2015,2017,32_16,0.01,101228,0.8560126582278481,0.26865671641791045,67,0.3660874012568289,0.18967545184986231,632,0
20,17,37,0.366087406873703,False,1605,4.448974583999643,confirmation,2015,2017,32_16,0.01,101228,0.8560126582278481,0.26865671641791045,67,0.3660874012568289,0.18967545184986231,632,0
50,17,67,0.366087406873703,False,1605,7.911258586999793,confirmation,2015,2017,32_16,0.01,101228,0.8560126582278481,0.26865671641791045,67,0.3660874012568289,0.18967545184986231,632,0
10,31,41,0.3988928198814392,False,1605,4.811891419999938,confirmation,2015,2017,32_16,0.01,101229,0.8781645569620253,0.14925373134328357,67,0.39889285419396947,0.1957617218835314,632,0
20,31,51,0.3988928198814392,False,1605,5.887456160000056,confirmation,2015,2017,32_16,0.01,101229,0.8781645569620253,0.14925373134328357,67,0.39889285419396947,0.1957617218835314,632,0
50,31,81,0.3988928198814392,False,1605,9.183080492000045,confirmation,2015,2017,32_16,0.01,101229,0.8781645569620253,0.14925373134328357,67,0.39889285419396947,0.1957617218835314,632,0
10,12,22,0.4086211919784546,False,1605,2.6231839260003653,confirmation,2015,2017,32_16,0.01,101230,0.8607594936708861,0.31343283582089554,67,0.4086211871177386,0.20757941310935163,632,0
20,33,53,0.4023968279361725,False,1605,5.91333848100021,confirmation,2015,2017,32_16,0.01,101230,0.8987341772151899,0.1044776119402985,67,0.4023968413390103,0.18653577869129662,632,0
50,33,83,0.4023968279361725,False,1605,9.07673413900011,confirmation,2015,2017,32_16,0.01,101230,0.8987341772151899,0.1044776119402985,67,0.4023968413390103,0.18653577869129662,632,0
10,24,34,0.3640998303890228,False,1605,3.903606252999907,confirmation,2015,2017,32_16,0.01,101231,0.8496835443037974,0.1791044776119403,67,0.3640998491684705,0.19783023679060718,632,0
20,24,44,0.3640998303890228,False,1605,4.923147942000014,confirmation,2015,2017,32_16,0.01,101231,0.8496835443037974,0.1791044776119403,67,0.3640998491684705,0.19783023679060718,632,0
50,24,74,0.3640998303890228,False,1605,8.248282582999764,confirmation,2015,2017,32_16,0.01,101231,0.8496835443037974,0.1791044776119403,67,0.3640998491684705,0.19783023679060718,632,0
10,22,32,0.36369815468788147,False,1605,3.4083834719999686,confirmation,2015,2017,32_16,0.01,101232,0.8639240506329114,0.31343283582089554,67,0.3636981886524958,0.19528704860180113,632,0
20,22,42,0.36369815468788147,False,1605,4.53339888399978,confirmation,2015,2017,32_16,0.01,101232,0.8639240506329114,0.31343283582089554,67,0.3636981886524958,0.19528704860180113,632,0
50,22,72,0.36369815468788147,False,1605,7.980410054999993,confirmation,2015,2017,32_16,0.01,101232,0.8639240506329114,0.31343283582089554,67,0.3636981886524958,0.19528704860180113,632,0
10,9,19,0.38087621331214905,False,1605,1.2431908290000138,confirmation,2015,2017,32_16,0.03,101223,0.8876582278481012,0.08955223880597014,67,0.3808762232361547,0.1909710467270656,632,0
20,9,29,0.38087621331214905,False,1605,1.890057292000165,confirmation,2015,2017,32_16,0.03,101223,0.8876582278481012,0.08955223880597014,67,0.3808762232361547,0.1909710467270656,632,0
50,9,59,0.38087621331214905,False,1605,3.7706422530000054,confirmation,2015,2017,32_16,0.03,101223,0.8876582278481012,0.08955223880597014,67,0.3808762232361547,0.1909710467270656,632,0
10,7,17,0.3195036053657532,False,1605,1.0903772029996617,confirmation,2015,2017,32_16,0.03,101224,0.8955696202531646,0.1044776119402985,67,0.319503596033746,0.1656416664345362,632,0
20,7,27,0.3195036053657532,False,1605,1.752144871999917,confirmation,2015,2017,32_16,0.03,101224,0.8955696202531646,0.1044776119402985,67,0.319503596033746,0.1656416664345362,632,0
50,7,57,0.3195036053657532,False,1605,3.668975102999866,confirmation,2015,2017,32_16,0.03,101224,0.8955696202531646,0.1044776119402985,67,0.319503596033746,0.1656416664345362,632,0
10,9,19,0.3258984386920929,False,1605,1.2964416199997686,confirmation,2015,2017,32_16,0.03,101225,0.8971518987341772,0.13432835820895522,67,0.32589842727746104,0.16568606406072592,632,0
20,9,29,0.3258984386920929,False,1605,2.0110647379997317,confirmation,2015,2017,32_16,0.03,101225,0.8971518987341772,0.13432835820895522,67,0.32589842727746104,0.16568606406072592,632,0
