architecture,evaluation_year,party,actual_seats,predicted_seats,recall,precision
32_16,2019,con,365,351,0.9041095890410958,0.9401709401709402
32_16,2019,lab,202,235,0.9752475247524752,0.8382978723404255
32_16,2019,lib,11,1,0.09090909090909091,1.0
32_16,2019,natSW,52,45,0.8076923076923077,0.9333333333333333
32_16,2019,oth,2,0,0.0,
16,2019,con,365,350,0.8904109589041096,0.9285714285714286
16,2019,lab,202,245,0.9752475247524752,0.8040816326530612
16,2019,lib,11,5,0.36363636363636365,0.8
16,2019,natSW,52,32,0.6153846153846154,1.0
16,2019,oth,2,0,0.0,
32_16,2015,con,330,263,0.7878787878787878,0.9885931558935361
32_16,2015,lab,231,312,0.9653679653679653,0.7147435897435898
32_16,2015,lib,8,50,1.0,0.16
32_16,2015,natSW,59,7,0.11864406779661017,1.0
32_16,2015,oth,4,0,0.0,
16,2015,con,330,254,0.7606060606060606,0.9881889763779528
16,2015,lab,231,321,0.9653679653679653,0.6947040498442367
16,2015,lib,8,50,1.0,0.16
16,2015,natSW,59,7,0.11864406779661017,1.0
16,2015,oth,4,0,0.0,
32_16,2005,con,198,312,0.98989898989899,0.6282051282051282
32_16,2005,lab,355,270,0.7211267605633803,0.9481481481481482
32_16,2005,lib,62,36,0.5806451612903226,1.0
32_16,2005,natSW,9,10,0.7777777777777778,0.7
32_16,2005,oth,4,0,0.0,
16,2005,con,198,301,0.98989898989899,0.6511627906976745
16,2005,lab,355,279,0.7464788732394366,0.9498207885304659
16,2005,lib,62,38,0.6129032258064516,1.0
16,2005,natSW,9,10,0.7777777777777778,0.7
16,2005,oth,4,0,0.0,
