stage,train_through,validation_year,evaluation_year,architecture,learning_rate,patience,seeds,validation_accuracy,validation_changed_seat_accuracy,validation_changed_seats,validation_log_loss,validation_brier_score,validation_rows,validation_unseen_winners,evaluation_accuracy,evaluation_changed_seat_accuracy,evaluation_changed_seats,evaluation_log_loss,evaluation_brier_score,evaluation_rows,evaluation_unseen_winners,policy
screening,2015,2017,2019,16,0.05,10,3,0.8955696202531646,0.08955223880597014,67,0.29365269618808437,0.15667679023829523,632,0,0.8670886075949367,0.11842105263157894,76,0.3173929680639533,0.18572851596966522,632,0,validation_all_rates
screening,2015,2017,2019,16,0.2,10,3,0.8955696202531646,0.1044776119402985,67,0.2995134199564676,0.16085070385520472,632,0,0.8860759493670886,0.2236842105263158,76,0.29195700370688227,0.17270068883055062,632,0,validation_midrange
screening,2015,2017,2019,16,0.1,10,3,0.8955696202531646,0.1044776119402985,67,0.3009499599956702,0.16204069791097986,632,0,0.8939873417721519,0.2631578947368421,76,0.2735762626680181,0.1607187429083799,632,0,validation_compact
screening,2015,2017,2019,16,0.01,10,3,0.8955696202531646,0.08955223880597014,67,0.29382955819156764,0.157200309100101,632,0,0.870253164556962,0.11842105263157894,76,0.3123427769656342,0.18353247448229368,632,0,fixed_0.01
screening,2015,2017,2019,16,0.03,10,3,0.8955696202531646,0.08955223880597014,67,0.29373582456165664,0.15704142115529146,632,0,0.8670886075949367,0.11842105263157894,76,0.3161254308445977,0.18557078470292232,632,0,fixed_0.03
screening,2015,2017,2019,16,0.05,10,3,0.8955696202531646,0.08955223880597014,67,0.29365269618808437,0.15667679023829523,632,0,0.8670886075949367,0.11842105263157894,76,0.3173929680639533,0.18572851596966522,632,0,fixed_0.05
screening,2015,2017,2019,16,0.1,10,3,0.8955696202531646,0.1044776119402985,67,0.3009499599956702,0.16204069791097986,632,0,0.8939873417721519,0.2631578947368421,76,0.2735762626680181,0.1607187429083799,632,0,fixed_0.1
screening,2015,2017,2019,16,0.2,10,3,0.8955696202531646,0.1044776119402985,67,0.2995134199564676,0.16085070385520472,632,0,0.8860759493670886,0.2236842105263158,76,0.29195700370688227,0.17270068883055062,632,0,fixed_0.2
screening,2015,2017,2019,16,0.3,10,3,0.8939873417721519,0.08955223880597014,67,0.33466534116829344,0.17486022311017732,632,0,0.8987341772151899,0.34210526315789475,76,0.24312126514310187,0.14187415077916568,632,0,fixed_0.3
screening,2015,2017,2019,16,0.5,10,3,0.8908227848101266,0.08955223880597014,67,0.3743340895929247,0.1828048138196535,632,0,0.9082278481012658,0.4473684210526316,76,0.22232874953280649,0.12608980317165205,632,0,fixed_0.5
screening,2015,2017,2019,16,1.0,10,3,0.8908227848101266,0.08955223880597014,67,0.3914757462096004,0.18278009476082102,632,0,0.9034810126582279,0.39473684210526316,76,0.24479763250329262,0.14185036164412945,632,0,fixed_1
screening,2015,2017,2019,16,0.05,20,3,0.8955696202531646,0.08955223880597014,67,0.29365269618808437,0.15667679023829523,632,0,0.8670886075949367,0.11842105263157894,76,0.3173929680639533,0.18572851596966522,632,0,validation_all_rates
screening,2015,2017,2019,16,0.2,20,3,0.8955696202531646,0.1044776119402985,67,0.2995134199564676,0.16085070385520472,632,0,0.8860759493670886,0.2236842105263158,76,0.29195700370688227,0.17270068883055062,632,0,validation_midrange
screening,2015,2017,2019,16,0.1,20,3,0.8955696202531646,0.1044776119402985,67,0.3009499599956702,0.16204069791097986,632,0,0.8939873417721519,0.2631578947368421,76,0.2735762626680181,0.1607187429083799,632,0,validation_compact
screening,2015,2017,2019,16,0.01,20,3,0.8955696202531646,0.08955223880597014,67,0.29382955819156764,0.157200309100101,632,0,0.870253164556962,0.11842105263157894,76,0.3123427769656342,0.18353247448229368,632,0,fixed_0.01
screening,2015,2017,2019,16,0.03,20,3,0.8955696202531646,0.08955223880597014,67,0.29373582456165664,0.15704142115529146,632,0,0.8670886075949367,0.11842105263157894,76,0.3161254308445977,0.18557078470292232,632,0,fixed_0.03
screening,2015,2017,2019,16,0.05,20,3,0.8955696202531646,0.08955223880597014,67,0.29365269618808437,0.15667679023829523,632,0,0.8670886075949367,0.11842105263157894,76,0.3173929680639533,0.18572851596966522,632,0,fixed_0.05
screening,2015,2017,2019,16,0.1,20,3,0.8955696202531646,0.1044776119402985,67,0.3009499599956702,0.16204069791097986,632,0,0.8939873417721519,0.2631578947368421,76,0.2735762626680181,0.1607187429083799,632,0,fixed_0.1
screening,2015,2017,2019,16,0.2,20,3,0.8955696202531646,0.1044776119402985,67,0.2995134199564676,0.16085070385520472,632,0,0.8860759493670886,0.2236842105263158,76,0.29195700370688227,0.17270068883055062,632,0,fixed_0.2
screening,2015,2017,2019,16,0.3,20,3,0.8939873417721519,0.08955223880597014,67,0.33466534116829344,0.17486022311017732,632,0,0.8987341772151899,0.34210526315789475,76,0.24312126514310187,0.14187415077916568,632,0,fixed_0.3
screening,2015,2017,2019,16,0.5,20,3,0.8908227848101266,0.08955223880597014,67,0.3743340895929247,0.1828048138196535,632,0,0.9082278481012658,0.4473684210526316,76,0.22232874953280649,0.12608980317165205,632,0,fixed_0.5
screening,2015,2017,2019,16,1.0,20,3,0.8908227848101266,0.08955223880597014,67,0.3914757462096004,0.18278009476082102,632,0,0.9034810126582279,0.39473684210526316,76,0.24479763250329262,0.14185036164412945,632,0,fixed_1
screening,2015,2017,2019,16,0.05,50,3,0.8955696202531646,0.08955223880597014,67,0.29365269618808437,0.15667679023829523,632,0,0.8670886075949367,0.11842105263157894,76,0.3173929680639533,0.18572851596966522,632,0,validation_all_rates
screening,2015,2017,2019,16,0.2,50,3,0.8955696202531646,0.1044776119402985,67,0.2995134199564676,0.16085070385520472,632,0,0.8860759493670886,0.2236842105263158,76,0.29195700370688227,0.17270068883055062,632,0,validation_midrange
screening,2015,2017,2019,16,0.1,50,3,0.8955696202531646,0.1044776119402985,67,0.3009499599956702,0.16204069791097986,632,0,0.8939873417721519,0.2631578947368421,76,0.2735762626680181,0.1607187429083799,632,0,validation_compact
screening,2015,2017,2019,16,0.01,50,3,0.8955696202531646,0.08955223880597014,67,0.29382955819156764,0.157200309100101,632,0,0.870253164556962,0.11842105263157894,76,0.3123427769656342,0.18353247448229368,632,0,fixed_0.01
screening,2015,2017,2019,16,0.03,50,3,0.8955696202531646,0.08955223880597014,67,0.29373582456165664,0.15704142115529146,632,0,0.8670886075949367,0.11842105263157894,76,0.3161254308445977,0.18557078470292232,632,0,fixed_0.03
screening,2015,2017,2019,16,0.05,50,3,0.8955696202531646,0.08955223880597014,67,0.29365269618808437,0.15667679023829523,632,0,0.8670886075949367,0.11842105263157894,76,0.3173929680639533,0.18572851596966522,632,0,fixed_0.05
screening,2015,2017,2019,16,0.1,50,3,0.8955696202531646,0.1044776119402985,67,0.3009499599956702,0.16204069791097986,632,0,0.8939873417721519,0.2631578947368421,76,0.2735762626680181,0.1607187429083799,632,0,fixed_0.1
screening,2015,2017,2019,16,0.2,50,3,0.8955696202531646,0.1044776119402985,67,0.2995134199564676,0.16085070385520472,632,0,0.8860759493670886,0.2236842105263158,76,0.29195700370688227,0.17270068883055062,632,0,fixed_0.2
screening,2015,2017,2019,16,0.3,50,3,0.8939873417721519,0.08955223880597014,67,0.33466534116829344,0.17486022311017732,632,0,0.8987341772151899,0.34210526315789475,76,0.24312126514310187,0.14187415077916568,632,0,fixed_0.3
screening,2015,2017,2019,16,0.5,50,3,0.8908227848101266,0.08955223880597014,67,0.3743340895929247,0.1828048138196535,632,0,0.9082278481012658,0.4473684210526316,76,0.22232874953280649,0.12608980317165205,632,0,fixed_0.5
screening,2015,2017,2019,16,1.0,50,3,0.8908227848101266,0.08955223880597014,67,0.3914757462096004,0.18278009476082102,632,0,0.9034810126582279,0.39473684210526316,76,0.24479763250329262,0.14185036164412945,632,0,fixed_1
screening,2015,2017,2019,32,0.01,10,3,0.8908227848101266,0.1044776119402985,67,0.31351077929920196,0.16946691119980947,632,0,0.8670886075949367,0.2631578947368421,76,0.29823203909415963,0.17490123237742755,632,0,validation_all_rates
screening,2015,2017,2019,32,0.1,10,3,0.8955696202531646,0.1044776119402985,67,0.32211773589178694,0.17091257581352284,632,0,0.8908227848101266,0.2894736842105263,76,0.2726503353304187,0.15907835926028996,632,0,validation_midrange
screening,2015,2017,2019,32,0.1,10,3,0.8955696202531646,0.1044776119402985,67,0.32211773589178694,0.17091257581352284,632,0,0.8908227848101266,0.2894736842105263,76,0.2726503353304187,0.15907835926028996,632,0,validation_compact
screening,2015,2017,2019,32,0.01,10,3,0.8908227848101266,0.1044776119402985,67,0.31351077929920196,0.16946691119980947,632,0,0.8670886075949367,0.2631578947368421,76,0.29823203909415963,0.17490123237742755,632,0,fixed_0.01
screening,2015,2017,2019,32,0.03,10,3,0.8908227848101266,0.13432835820895522,67,0.31356131815212446,0.1705151947695081,632,0,0.8512658227848101,0.2631578947368421,76,0.30732511160312626,0.18032490946076088,632,0,fixed_0.03
screening,2015,2017,2019,32,0.05,10,3,0.8892405063291139,0.1044776119402985,67,0.31389292987740647,0.16989442891940518,632,0,0.8607594936708861,0.2631578947368421,76,0.30298863333992093,0.17773199808456533,632,0,fixed_0.05
screening,2015,2017,2019,32,0.1,10,3,0.8955696202531646,0.1044776119402985,67,0.32211773589178694,0.17091257581352284,632,0,0.8908227848101266,0.2894736842105263,76,0.2726503353304187,0.15907835926028996,632,0,fixed_0.1
screening,2015,2017,2019,32,0.2,10,3,0.8955696202531646,0.1044776119402985,67,0.32862850067975097,0.17330874672988614,632,0,0.8908227848101266,0.32894736842105265,76,0.28049897773747495,0.16391208313355413,632,0,fixed_0.2
screening,2015,2017,2019,32,0.3,10,3,0.8908227848101266,0.08955223880597014,67,0.38026769304796515,0.1894333083684062,632,0,0.9098101265822784,0.47368421052631576,76,0.2393945027757424,0.13546635666321657,632,0,fixed_0.3
screening,2015,2017,2019,32,0.5,10,3,0.8781645569620253,0.1044776119402985,67,0.477594866110715,0.21135052168243862,632,0,0.9145569620253164,0.5657894736842105,76,0.22519270694681048,0.12343700130545997,632,0,fixed_0.5
screening,2015,2017,2019,32,1.0,10,3,0.8939873417721519,0.08955223880597014,67,0.41817442357795914,0.18687597220633814,632,0,0.9018987341772152,0.3815789473684211,76,0.21243500259671613,0.1281286470999238,632,0,fixed_1
screening,2015,2017,2019,32,0.01,20,3,0.8908227848101266,0.1044776119402985,67,0.31351077929920196,0.16946691119980947,632,0,0.8670886075949367,0.2631578947368421,76,0.29823203909415963,0.17490123237742755,632,0,validation_all_rates
screening,2015,2017,2019,32,0.1,20,3,0.8955696202531646,0.1044776119402985,67,0.32211773589178694,0.17091257581352284,632,0,0.8908227848101266,0.2894736842105263,76,0.2726503353304187,0.15907835926028996,632,0,validation_midrange
screening,2015,2017,2019,32,0.1,20,3,0.8955696202531646,0.1044776119402985,67,0.32211773589178694,0.17091257581352284,632,0,0.8908227848101266,0.2894736842105263,76,0.2726503353304187,0.15907835926028996,632,0,validation_compact
screening,2015,2017,2019,32,0.01,20,3,0.8908227848101266,0.1044776119402985,67,0.31351077929920196,0.16946691119980947,632,0,0.8670886075949367,0.2631578947368421,76,0.29823203909415963,0.17490123237742755,632,0,fixed_0.01
screening,2015,2017,2019,32,0.03,20,3,0.8908227848101266,0.13432835820895522,67,0.31356131815212446,0.1705151947695081,632,0,0.8512658227848101,0.2631578947368421,76,0.30732511160312626,0.18032490946076088,632,0,fixed_0.03
screening,2015,2017,2019,32,0.05,20,3,0.8892405063291139,0.1044776119402985,67,0.31389292987740647,0.16989442891940518,632,0,0.8607594936708861,0.2631578947368421,76,0.30298863333992093,0.17773199808456533,632,0,fixed_0.05
screening,2015,2017,2019,32,0.1,20,3,0.8955696202531646,0.1044776119402985,67,0.32211773589178694,0.17091257581352284,632,0,0.8908227848101266,0.2894736842105263,76,0.2726503353304187,0.15907835926028996,632,0,fixed_0.1
screening,2015,2017,2019,32,0.2,20,3,0.8955696202531646,0.1044776119402985,67,0.32862850067975097,0.17330874672988614,632,0,0.8908227848101266,0.32894736842105265,76,0.28049897773747495,0.16391208313355413,632,0,fixed_0.2
screening,2015,2017,2019,32,0.3,20,3,0.8908227848101266,0.08955223880597014,67,0.38026769304796515,0.1894333083684062,632,0,0.9098101265822784,0.47368421052631576,76,0.2393945027757424,0.13546635666321657,632,0,fixed_0.3
screening,2015,2017,2019,32,0.5,20,3,0.8781645569620253,0.1044776119402985,67,0.477594866110715,0.21135052168243862,632,0,0.9145569620253164,0.5657894736842105,76,0.22519270694681048,0.12343700130545997,632,0,fixed_0.5
screening,2015,2017,2019,32,1.0,20,3,0.8939873417721519,0.08955223880597014,67,0.41817442357795914,0.18687597220633814,632,0,0.9018987341772152,0.3815789473684211,76,0.21243500259671613,0.1281286470999238,632,0,fixed_1
screening,2015,2017,2019,32,0.01,50,3,0.8908227848101266,0.1044776119402985,67,0.31351077929920196,0.16946691119980947,632,0,0.8670886075949367,0.2631578947368421,76,0.29823203909415963,0.17490123237742755,632,0,validation_all_rates
screening,2015,2017,2019,32,0.1,50,3,0.8955696202531646,0.1044776119402985,67,0.32211773589178694,0.17091257581352284,632,0,0.8908227848101266,0.2894736842105263,76,0.2726503353304187,0.15907835926028996,632,0,validation_midrange
screening,2015,2017,2019,32,0.1,50,3,0.8955696202531646,0.1044776119402985,67,0.32211773589178694,0.17091257581352284,632,0,0.8908227848101266,0.2894736842105263,76,0.2726503353304187,0.15907835926028996,632,0,validation_compact
