patience,best_epoch,stopping_epoch,best_validation_loss,hit_epoch_cap,parameters,elapsed_seconds,stage,train_through,validation_year,architecture,learning_rate,seed,validation_accuracy,validation_changed_seat_accuracy,validation_changed_seats,validation_log_loss,validation_brier_score,validation_rows,validation_unseen_winners
10,26,36,0.317121684551239,False,581,2.331182511999941,screening,2015,2017,16,0.01,101223,0.8908227848101266,0.11940298507462686,67,0.3171217235193594,0.16917800066856317,632,0
20,26,46,0.317121684551239,False,581,2.970296990999941,screening,2015,2017,16,0.01,101223,0.8908227848101266,0.11940298507462686,67,0.3171217235193594,0.16917800066856317,632,0
50,26,76,0.317121684551239,False,581,4.772926472000108,screening,2015,2017,16,0.01,101223,0.8908227848101266,0.11940298507462686,67,0.3171217235193594,0.16917800066856317,632,0
10,15,25,0.2936224341392517,False,581,1.50211192200004,screening,2015,2017,16,0.01,101224,0.8971518987341772,0.11940298507462686,67,0.2936224564862906,0.1554097689486438,632,0
20,15,35,0.2936224341392517,False,581,2.105518550999932,screening,2015,2017,16,0.01,101224,0.8971518987341772,0.11940298507462686,67,0.2936224564862906,0.1554097689486438,632,0
50,15,65,0.2936224341392517,False,581,3.8933815800000957,screening,2015,2017,16,0.01,101224,0.8971518987341772,0.11940298507462686,67,0.2936224564862906,0.1554097689486438,632,0
10,16,26,0.2905452251434326,False,581,1.5903456460000598,screening,2015,2017,16,0.01,101225,0.8971518987341772,0.08955223880597014,67,0.29054522117559806,0.15425614841722743,632,0
20,16,36,0.2905452251434326,False,581,2.2167895110001155,screening,2015,2017,16,0.01,101225,0.8971518987341772,0.08955223880597014,67,0.29054522117559806,0.15425614841722743,632,0
50,16,66,0.2905452251434326,False,581,3.9376027039998007,screening,2015,2017,16,0.01,101225,0.8971518987341772,0.08955223880597014,67,0.29054522117559806,0.15425614841722743,632,0
10,9,19,0.3155766725540161,False,581,1.1212806759999694,screening,2015,2017,16,0.03,101223,0.8924050632911392,0.08955223880597014,67,0.31557671477863186,0.16774875246840074,632,0
20,9,29,0.3155766725540161,False,581,1.7171056840002166,screening,2015,2017,16,0.03,101223,0.8924050632911392,0.08955223880597014,67,0.31557671477863186,0.16774875246840074,632,0
50,9,59,0.3155766725540161,False,581,3.4915512920001675,screening,2015,2017,16,0.03,101223,0.8924050632911392,0.08955223880597014,67,0.31557671477863186,0.16774875246840074,632,0
10,5,15,0.29431816935539246,False,581,0.8772690669998155,screening,2015,2017,16,0.03,101224,0.8971518987341772,0.11940298507462686,67,0.2943181819950651,0.1556477121489152,632,0
20,5,25,0.29431816935539246,False,581,1.464842256999873,screening,2015,2017,16,0.03,101224,0.8971518987341772,0.11940298507462686,67,0.2943181819950651,0.1556477121489152,632,0
50,5,55,0.29431816935539246,False,581,3.2225453239998387,screening,2015,2017,16,0.03,101224,0.8971518987341772,0.11940298507462686,67,0.2943181819950651,0.1556477121489152,632,0
10,5,15,0.2916465997695923,False,581,0.9530809180000688,screening,2015,2017,16,0.03,101225,0.8971518987341772,0.08955223880597014,67,0.29164661762112354,0.15379136729195866,632,0
20,5,25,0.2916465997695923,False,581,1.5727694049996899,screening,2015,2017,16,0.03,101225,0.8971518987341772,0.08955223880597014,67,0.29164661762112354,0.15379136729195866,632,0
50,5,55,0.2916465997695923,False,581,3.4134822500000155,screening,2015,2017,16,0.03,101225,0.8971518987341772,0.08955223880597014,67,0.29164661762112354,0.15379136729195866,632,0
10,5,15,0.317681223154068,False,581,0.8777365589999135,screening,2015,2017,16,0.05,101223,0.8765822784810127,0.16417910447761194,67,0.3176812223911976,0.17013965014500063,632,0
20,5,25,0.317681223154068,False,581,1.4440751010001804,screening,2015,2017,16,0.05,101223,0.8765822784810127,0.16417910447761194,67,0.3176812223911976,0.17013965014500063,632,0
50,5,55,0.317681223154068,False,581,3.271022076999998,screening,2015,2017,16,0.05,101223,0.8765822784810127,0.16417910447761194,67,0.3176812223911976,0.17013965014500063,632,0
10,3,13,0.2950986325740814,False,581,0.7334757500002524,screening,2015,2017,16,0.05,101224,0.8971518987341772,0.11940298507462686,67,0.2950986331198506,0.1554063620730276,632,0
20,3,23,0.2950986325740814,False,581,1.3592166810003619,screening,2015,2017,16,0.05,101224,0.8971518987341772,0.11940298507462686,67,0.2950986331198506,0.1554063620730276,632,0
50,3,53,0.2950986325740814,False,581,3.0493584690002535,screening,2015,2017,16,0.05,101224,0.8971518987341772,0.11940298507462686,67,0.2950986331198506,0.1554063620730276,632,0
10,3,13,0.29104670882225037,False,581,0.8477010749998044,screening,2015,2017,16,0.05,101225,0.8971518987341772,0.08955223880597014,67,0.291046708337045,0.15328084761770824,632,0
20,3,23,0.29104670882225037,False,581,1.4537215469999865,screening,2015,2017,16,0.05,101225,0.8971518987341772,0.08955223880597014,67,0.291046708337045,0.15328084761770824,632,0
50,3,53,0.29104670882225037,False,581,3.2309421260001727,screening,2015,2017,16,0.05,101225,0.8971518987341772,0.08955223880597014,67,0.291046708337045,0.15328084761770824,632,0
10,3,13,0.32628297805786133,False,581,0.7569634080000469,screening,2015,2017,16,0.1,101223,0.8939873417721519,0.08955223880597014,67,0.3262830061244944,0.1700082813397968,632,0
20,3,23,0.32628297805786133,False,581,1.3413685059999807,screening,2015,2017,16,0.1,101223,0.8939873417721519,0.08955223880597014,67,0.3262830061244944,0.1700082813397968,632,0
50,3,53,0.32628297805786133,False,581,3.0275326030000542,screening,2015,2017,16,0.1,101223,0.8939873417721519,0.08955223880597014,67,0.3262830061244944,0.1700082813397968,632,0
10,2,12,0.31712502241134644,False,581,0.8117172889997164,screening,2015,2017,16,0.1,101224,0.8955696202531646,0.1044776119402985,67,0.31712502230906575,0.16869077105873567,632,0
20,2,22,0.31712502241134644,False,581,1.4129617969997526,screening,2015,2017,16,0.1,101224,0.8955696202531646,0.1044776119402985,67,0.31712502230906575,0.16869077105873567,632,0
50,2,52,0.31712502241134644,False,581,3.143757956999707,screening,2015,2017,16,0.1,101224,0.8955696202531646,0.1044776119402985,67,0.31712502230906575,0.16869077105873567,632,0
10,2,12,0.2931743860244751,False,581,0.6662763709996398,screening,2015,2017,16,0.1,101225,0.8955696202531646,0.08955223880597014,67,0.2931743711001181,0.1585102346137392,632,0
20,2,22,0.2931743860244751,False,581,1.2393130209998162,screening,2015,2017,16,0.1,101225,0.8955696202531646,0.08955223880597014,67,0.2931743711001181,0.1585102346137392,632,0
50,2,52,0.2931743860244751,False,581,3.1009488079998846,screening,2015,2017,16,0.1,101225,0.8955696202531646,0.08955223880597014,67,0.2931743711001181,0.1585102346137392,632,0
10,1,11,0.34313276410102844,False,581,0.6702499510001871,screening,2015,2017,16,0.2,101223,0.8575949367088608,0.26865671641791045,67,0.34313275661948134,0.18409720687343825,632,0
20,1,21,0.34313276410102844,False,581,1.2598746740000024,screening,2015,2017,16,0.2,101223,0.8575949367088608,0.26865671641791045,67,0.34313275661948134,0.18409720687343825,632,0
50,1,51,0.34313276410102844,False,581,2.98846458800017,screening,2015,2017,16,0.2,101223,0.8575949367088608,0.26865671641791045,67,0.34313275661948134,0.18409720687343825,632,0
10,1,11,0.3033699095249176,False,581,0.6226555200000803,screening,2015,2017,16,0.2,101224,0.8955696202531646,0.1044776119402985,67,0.3033698850178774,0.16426462490054108,632,0
20,1,21,0.3033699095249176,False,581,1.1933174989999316,screening,2015,2017,16,0.2,101224,0.8955696202531646,0.1044776119402985,67,0.3033698850178774,0.16426462490054108,632,0
50,1,51,0.3033699095249176,False,581,3.098635480000212,screening,2015,2017,16,0.2,101224,0.8955696202531646,0.1044776119402985,67,0.3033698850178774,0.16426462490054108,632,0
10,1,11,0.3004090189933777,False,581,0.6480987240001923,screening,2015,2017,16,0.2,101225,0.8971518987341772,0.1044776119402985,67,0.30040903852212003,0.161689850254476,632,0
20,1,21,0.3004090189933777,False,581,1.2134136160002527,screening,2015,2017,16,0.2,101225,0.8971518987341772,0.1044776119402985,67,0.30040903852212003,0.161689850254476,632,0
50,1,51,0.3004090189933777,False,581,3.8715325369998936,screening,2015,2017,16,0.2,101225,0.8971518987341772,0.1044776119402985,67,0.30040903852212003,0.161689850254476,632,0
10,1,11,0.3541604280471802,False,581,1.220492639999975,screening,2015,2017,16,0.3,101223,0.8908227848101266,0.08955223880597014,67,0.35416047921782445,0.17909531908234128,632,0
20,1,21,0.3541604280471802,False,581,2.1444879239998045,screening,2015,2017,16,0.3,101223,0.8908227848101266,0.08955223880597014,67,0.35416047921782445,0.17909531908234128,632,0
50,1,51,0.3541604280471802,False,581,4.878944292999677,screening,2015,2017,16,0.3,101223,0.8908227848101266,0.08955223880597014,67,0.35416047921782445,0.17909531908234128,632,0
10,1,11,0.3537061810493469,False,581,1.1367422749999605,screening,2015,2017,16,0.3,101224,0.8939873417721519,0.08955223880597014,67,0.35370617983197084,0.1823244632088486,632,0
20,1,21,0.3537061810493469,False,581,2.094854594000026,screening,2015,2017,16,0.3,101224,0.8939873417721519,0.08955223880597014,67,0.35370617983197084,0.1823244632088486,632,0
50,1,51,0.3537061810493469,False,581,5.246489396000015,screening,2015,2017,16,0.3,101224,0.8939873417721519,0.08955223880597014,67,0.35370617983197084,0.1823244632088486,632,0
10,1,11,0.37223607301712036,False,581,1.477642188000118,screening,2015,2017,16,0.3,101225,0.8908227848101266,0.08955223880597014,67,0.3722360826677119,0.186722037465236,632,0
20,1,21,0.37223607301712036,False,581,2.6462496150002153,screening,2015,2017,16,0.3,101225,0.8908227848101266,0.08955223880597014,67,0.3722360826677119,0.186722037465236,632,0
50,1,51,0.37223607301712036,False,581,5.564640643000075,screening,2015,2017,16,0.3,101225,0.8908227848101266,0.08955223880597014,67,0.3722360826677119,0.186722037465236,632,0
10,1,11,0.4146862328052521,False,581,1.1423325179998756,screening,2015,2017,16,0.5,101223,0.8860759493670886,0.08955223880597014,67,0.4146862049677284,0.19296657638320489,632,0
20,1,21,0.4146862328052521,False,581,2.1883152749996952,screening,2015,2017,16,0.5,101223,0.8860759493670886,0.08955223880597014,67,0.4146862049677284,0.19296657638320489,632,0
50,1,51,0.4146862328052521,False,581,5.215862845999709,screening,2015,2017,16,0.5,101223,0.8860759493670886,0.08955223880597014,67,0.4146862049677284,0.19296657638320489,632,0
10,15,25,0.4381781816482544,False,581,2.4400787660001697,screening,2015,2017,16,0.5,101224,0.8987341772151899,0.1791044776119403,67,0.4381781993990719,0.1762311225763123,632,0
20,15,35,0.4381781816482544,False,581,3.2683135849997598,screening,2015,2017,16,0.5,101224,0.8987341772151899,0.1791044776119403,67,0.4381781993990719,0.1762311225763123,632,0
50,15,65,0.4381781816482544,False,581,5.1473821780000435,screening,2015,2017,16,0.5,101224,0.8987341772151899,0.1791044776119403,67,0.4381781993990719,0.1762311225763123,632,0
