constituency_name,country/region,election,majority_proportion,winner,constituency_id,boundary_set,election_type,con_share,lib_share,lab_share,natSW_share,previous_election
Aberavon,Wales,2001_notional,0.631,lab,565,2005,notional,0.076,0.097,0.631,0.098,1997
Aberdeen North,Scotland,2001_notional,0.455,lab,S14000001,2005,notional,0.142,0.172,0.455,0.204,1997
Aberdeen South,Scotland,2001_notional,0.398,lab,S14000002,2005,notional,0.192,0.279,0.398,0.116,1997
Airdrie and Shotts,Scotland,2001_notional,0.582,lab,S14000003,2005,notional,0.062,0.075,0.582,0.193,1997
Aldershot,South East,2001_notional,0.422,con,47,2005,notional,0.422,0.276,0.252,,1997
Aldridge-Brownhills,West Midlands,2001_notional,0.502,con,295,2005,notional,0.502,0.086,0.402,,1997
Altrincham & Sale West,North West,2001_notional,0.462,con,435,2005,notional,0.462,0.144,0.394,,1997
Alyn & Deeside,Wales,2001_notional,0.523,lab,530,2005,notional,0.263,0.129,0.523,0.033,1997
Amber Valley,East Midlands,2001_notional,0.519,lab,324,2005,notional,0.357,0.124,0.519,,1997
Angus,Scotland,2001_notional,0.353,natSW,S14000004,2005,notional,0.25,0.143,0.234,0.353,1997
Argyll and Bute,Scotland,2001_notional,0.299,lib,S14000005,2005,notional,0.208,0.299,0.245,0.208,1997
Arundel & South Downs,South East,2001_notional,0.522,con,110,2005,notional,0.522,0.224,0.207,,1997
Ashfield,East Midlands,2001_notional,0.581,lab,357,2005,notional,0.244,0.113,0.581,,1997
Ashford,South East,2001_notional,0.474,con,76,2005,notional,0.474,0.151,0.321,,1997
Ashton Under Lyne,North West,2001_notional,0.625,lab,436,2005,notional,0.191,0.118,0.625,,1997
Aylesbury,South East,2001_notional,0.473,con,15,2005,notional,0.473,0.269,0.232,,1997
Central Ayrshire,Scotland,2001_notional,0.436,lab,S14000010,2005,notional,0.37,0.054,0.436,0.12,1997
Banbury,South East,2001_notional,0.452,con,93,2005,notional,0.452,0.159,0.35,,1997
Banff and Buchan,Scotland,2001_notional,0.542,natSW,S14000007,2005,notional,0.201,0.09,0.142,0.542,1997
Barking,London,2001_notional,0.609,lab,140,2005,notional,0.23,0.098,0.609,,1997
Barnsley Central,Yorkshire and the Humber,2001_notional,0.696,lab,386,2005,notional,0.131,0.147,0.696,,1997
Barnsley East & Mexborough,Yorkshire and the Humber,2001_notional,0.675,lab,387,2005,notional,0.124,0.159,0.675,,1997
Barnsley West & Penistone,Yorkshire and the Humber,2001_notional,0.586,lab,388,2005,notional,0.228,0.186,0.586,,1997
Barrow & Furness,North West,2001_notional,0.557,lab,494,2005,notional,0.303,0.122,0.557,,1997
Basildon,Eastern,2001_notional,0.527,lab,30,2005,notional,0.338,0.09,0.527,,1997
Basingstoke,South East,2001_notional,0.427,con,48,2005,notional,0.427,0.139,0.409,,1997
Bassetlaw,East Midlands,2001_notional,0.553,lab,358,2005,notional,0.302,0.127,0.553,,1997
Bath,South West,2001_notional,0.505,lib,214,2005,notional,0.291,0.505,0.157,,1997
Batley & Spen,Yorkshire and the Humber,2001_notional,0.499,lab,401,2005,notional,0.367,0.103,0.499,,1997
Battersea,London,2001_notional,0.503,lab,141,2005,notional,0.365,0.121,0.503,,1997
Beaconsfield,South East,2001_notional,0.528,con,16,2005,notional,0.528,0.216,0.218,,1997
Beckenham,London,2001_notional,0.453,con,142,2005,notional,0.453,0.16,0.344,,1997
Bedford,Eastern,2001_notional,0.479,lab,1,2005,notional,0.328,0.158,0.479,,1997
Berwick-Upon-Tweed,North East,2001_notional,0.514,lib,513,2005,notional,0.281,0.514,0.177,,1997
Bethnal Green & Bow,London,2001_notional,0.505,lab,143,2005,notional,0.243,0.155,0.505,,1997
Beverley & Holderness,Yorkshire and the Humber,2001_notional,0.413,con,368,2005,notional,0.413,0.159,0.396,,1997
Bexhill & Battle,South East,2001_notional,0.481,con,22,2005,notional,0.481,0.247,0.194,,1997
