constituency_name,country/region,election,majority_proportion,winner,constituency_id,boundary_set,election_type,con_share,lab_share,lib_share,natSW_share,previous_election
Aberafan Maesteg,Wales,2024,0.49889525940427915,lab,W07000081,2023-current,actual,0.08119144175639771,0.49889525940427915,0.02561879457418543,0.13198154104321075,2019_notional
Aberdeen North,Scotland,2024,0.3452429029575959,natSW,S14000060,2023-current,actual,0.13970780377717068,0.3034327117234826,0.061361206794156076,0.3452429029575959,2019_notional
Aberdeen South,Scotland,2024,0.32825547524004745,natSW,S14000061,2023-current,actual,0.24382349768044018,0.24716797928579134,0.0630272952853598,0.32825547524004745,2019_notional
Aberdeenshire North and Moray East,Scotland,2024,0.3523358122970567,natSW,S14000062,2023-current,actual,0.3276683775007856,0.10149785272860584,0.07285010998219336,0.3523358122970567,2019_notional
Airdrie and Shotts,Scotland,2024,0.5146729940544373,lab,S14000063,2023-current,actual,0.046255386461572026,0.5146729940544373,0.019773086783396062,0.3088419789450717,2019_notional
Aldershot,South East,2024,0.4071357943309163,lab,E14001063,2023-current,actual,0.2900667435728411,0.4071357943309163,0.08347066578773896,0.0,2019_notional
Aldridge-Brownhills,West Midlands,2024,0.3886634728197106,con,E14001064,2023-current,actual,0.3886634728197106,0.28370649198279235,0.04289694955025421,0.0,2019_notional
Alloa and Grangemouth,Scotland,2024,0.43782917890342465,lab,S14000064,2023-current,actual,0.07589621611125943,0.43782917890342465,0.027936215140409212,0.2892405524137764,2019_notional
Altrincham and Sale West,North West,2024,0.4042214102464433,lab,E14001065,2023-current,actual,0.323097255694628,0.4042214102464433,0.09187203607245588,0.0,2019_notional
Alyn and Deeside,Wales,2024,0.4239260693215339,lab,W07000082,2023-current,actual,0.18187684365781712,0.4239260693215339,0.047589417404129794,0.04466261061946902,2019_notional
Amber Valley,East Midlands,2024,0.37022407185347156,lab,E14001066,2023-current,actual,0.2521690061367003,0.37022407185347156,0.03738449601467165,0.0,2019_notional
Angus and Perthshire Glens,Scotland,2024,0.40428317985976175,natSW,S14000065,2023-current,actual,0.30142772661992057,0.14359635042662836,0.06665540255132213,0.40428317985976175,2019_notional
Arbroath and Broughty Ferry,Scotland,2024,0.353174513226194,natSW,S14000066,2023-current,actual,0.1550649409524673,0.33370356098556114,0.05097808101185484,0.353174513226194,2019_notional
"Argyll, Bute and South Lochaber",Scotland,2024,0.34733181757389325,natSW,S14000067,2023-current,actual,0.20841692300833667,0.19136462930765458,0.16403637822656145,0.34733181757389325,2019_notional
Arundel and South Downs,South East,2024,0.40191815856777496,con,E14001067,2023-current,actual,0.40191815856777496,0.17869930580928023,0.18025210084033613,0.0,2019_notional
Ashfield,East Midlands,2024,0.4278120455343263,oth,E14001068,2023-current,actual,0.0820169500025074,0.2897046286545309,0.015520786319642947,0.0,2019_notional
Ashford,South East,2024,0.3248962213943587,lab,E14001069,2023-current,actual,0.28702501330494945,0.3248962213943587,0.05204896221394359,0.0,2019_notional
Ashton-under-Lyne,North West,2024,0.4392149121570176,lab,E14001070,2023-current,actual,0.12337497532500494,0.4392149121570176,0.03979019204196159,0.0,2019_notional
Aylesbury,South East,2024,0.30198237885462553,lab,E14001071,2023-current,actual,0.2893672406888266,0.30198237885462553,0.2090508610332399,0.0,2019_notional
"Ayr, Carrick and Cumnock",Scotland,2024,0.3647156537033418,lab,S14000107,2023-current,actual,0.2258891928864569,0.3647156537033418,0.02640707445769005,0.26324017979284736,2019_notional
Banbury,South East,2024,0.38332849018224086,lab,E14001072,2023-current,actual,0.31574577608036863,0.38332849018224086,0.0903316866619619,0.0,2019_notional
Bangor Aberconwy,Wales,2024,0.33624579932789245,lab,W07000083,2023-current,actual,0.2168987037926068,0.33624579932789245,0.03658185309649544,0.2187229956793087,2019_notional
Barking,London,2024,0.4448556624722428,lab,E14001073,2023-current,actual,0.11771801409107109,0.4448556624722428,0.02782575321435425,0.0,2019_notional
Barnsley North,Yorkshire and The Humber,2024,0.5044180625575975,lab,E14001074,2023-current,actual,0.08356372309860682,0.5044180625575975,0.03621185016533854,0.0,2019_notional
Barnsley South,Yorkshire and The Humber,2024,0.4674476939741178,lab,E14001075,2023-current,actual,0.09255458639758281,0.4674476939741178,0.03340744541360242,0.0,2019_notional
Barrow and Furness,North West,2024,0.43904691977925675,lab,E14001076,2023-current,actual,0.312948532720684,0.43904691977925675,0.0397906255181071,0.0,2019_notional
Basildon and Billericay,East of England,2024,0.30635742094767826,con,E14001077,2023-current,actual,0.30635742094767826,0.30588263222865825,0.05441078719969614,0.0,2019_notional
Basingstoke,South East,2024,0.42707546592092105,lab,E14001078,2023-current,actual,0.29471922268264306,0.42707546592092105,0.06483088040172283,0.0,2019_notional
Bassetlaw,East Midlands,2024,0.4116939257542671,lab,E14001079,2023-current,actual,0.2831676990953251,0.4116939257542671,0.04447613530014707,0.0,2019_notional
Bath,South West,2024,0.4131103261998753,lib,E14001080,2023-current,actual,0.15913151880324122,0.18003324329939746,0.4131103261998753,0.0,2019_notional
Bathgate and Linlithgow,Scotland,2024,0.4700820159277309,lab,S14000068,2023-current,actual,0.07474147153215262,0.4700820159277309,0.051610602638773324,0.2722215618685368,2019_notional
Battersea,London,2024,0.4881483369440551,lab,E14001081,2023-current,actual,0.2324455205811138,0.4881483369440551,0.10250201775625505,0.0,2019_notional
Beaconsfield,South East,2024,0.38750366676444703,con,E14001082,2023-current,actual,0.38750366676444703,0.1511964128567238,0.2732053807149143,0.0,2019_notional
Beckenham and Penge,London,2024,0.49314465167936883,lab,E14001083,2023-current,actual,0.2460265788365057,0.49314465167936883,0.08494504231932902,0.0,2019_notional
Bedford,East of England,2024,0.45111783368995795,lab,E14001084,2023-current,actual,0.21918886347426153,0.45111783368995795,0.09899407265304115,0.0,2019_notional
Bermondsey and Old Southwark,London,2024,0.44828870036965135,lab,E14001085,2023-current,actual,0.07656304018296413,0.44828870036965135,0.24120415924261362,0.0,2019_notional
"Berwickshire, Roxburgh and Selkirk",Scotland,2024,0.405343872159457,con,S14000108,2023-current,actual,0.405343872159457,0.13555135529876713,0.07917006744275956,0.2636066841359165,2019_notional
Bethnal Green and Stepney,London,2024,0.3407721825626514,lab,E14001086,2023-current,actual,0.04116020322850344,0.3407721825626514,0.10240744313675049,0.0,2019_notional
Beverley and Holderness,Yorkshire and The Humber,2024,0.34525692139786623,con,E14001087,2023-current,actual,0.34525692139786623,0.3424950442123082,0.07541706572822238,0.0,2019_notional
Bexhill and Battle,South East,2024,0.3389738219895288,con,E14001088,2023-current,actual,0.3389738219895288,0.2833298429319372,0.07273298429319372,0.0,2019_notional
Bexleyheath and Crayford,London,2024,0.36163456892386275,lab,E14001089,2023-current,actual,0.31299325832355446,0.36163456892386275,0.05071213271668853,0.0,2019_notional
