Date,Conservative,Labour,LD,incumbent
1983,0.45641176470588235,0.267,0.2561176470588235,con
1987,0.426875,0.34125,0.2146875,con
1992,0.37733333333333335,0.3903333333333333,0.19466666666666665,con
1997,0.30910714285714286,0.4932142857142857,0.13421428571428573,con
2001,0.3142857142857143,0.44857142857142857,0.17666666666666667,lab
2005,0.32625,0.375,0.2275,lab
2010,0.35769230769230764,0.28076923076923077,0.27,lab
2015,0.3357894736842105,0.3336842105263158,0.09210526315789475,con
2017,0.4286666666666667,0.368,0.07733333333333334,con
2019,0.43104166666666666,0.33237500000000003,0.12012500000000001,con
2024,0.2090909090909091,0.38272727272727275,0.11,con
